,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
3,3,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.renderer.category.junit.LevelRendererTests.testDrawWithNullInfo,CHART,26,True
4,4,Chart Bug 11 - Strong Oracle,52,181,9,34,0,0,0,0,0,0,11,43,0,2,org.jfree.chart.util.junit.ShapeUtilitiesTests.testEqualGeneralPaths,CHART,11,True
9,9,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization3,CHART,26,True
20,20,Chart Bug 16 - Strong Oracle,16,16,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetRowIndex,CHART,16,True
21,21,Chart Bug 22 - Strong Oracle,9,9,0,0,0,0,0,0,0,0,3,3,0,1,org.jfree.data.junit.KeyedObjects2DTests.testRemoveRowByKey,CHART,22,True
23,23,Chart Bug 4 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange2,CHART,4,True
36,36,Chart Bug 18 - Strong Oracle,17,17,2,2,0,0,0,0,0,0,3,3,0,1,org.jfree.data.junit.DefaultKeyedValuesTests.testGetIndex2,CHART,18,True
43,43,Chart Bug 16 - Strong Oracle,13,13,0,0,0,0,0,0,0,0,1,1,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetSeriesIndex,CHART,16,True
44,44,Chart Bug 19 - strong Oracle,27,43,3,7,0,0,0,0,0,0,3,3,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testGetDomainAxisIndex,CHART,19,True
45,45,Chart Bug 22 - Strong Oracle,56,59,5,6,0,0,0,0,0,0,15,16,0,1,org.jfree.data.junit.KeyedObjects2DTests.testGetValueByKey,CHART,22,True
52,52,Chart Bug 10 - Strong Oracle,13,13,0,0,0,0,0,0,0,0,6,6,0,1,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests.testGenerateURLFragment,CHART,10,True
58,58,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization4,CHART,26,True
71,71,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.junit.StackedBarChartTests.testDrawWithNullInfo,CHART,26,True
79,79,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.junit.LineChartTests.testDrawWithNullInfo,CHART,26,True
81,81,Chart Bug 18 - Strong Oracle,20,20,0,0,0,0,0,0,0,0,8,8,0,1,org.jfree.data.junit.DefaultKeyedValuesTests.testRemoveValue,CHART,18,True
84,84,Chart Bug 4 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange1,CHART,4,True
87,87,Chart Bug 6 - Strong Oracle,134,320,15,36,0,0,2,8,1,2,15,29,0,1,org.jfree.chart.util.junit.ShapeListTests.testSerialization,CHART,6,True
102,102,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests.testDrawWithNullInfo,CHART,26,True
105,105,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.test1654215,CHART,26,True
107,107,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullInfo,CHART,26,True
116,116,Chart Bug 8 - Strong Oracle,6,6,0,0,0,0,0,0,0,0,1,1,0,1,org.jfree.data.time.junit.WeekTests.testConstructor,CHART,8,True
125,125,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.junit.GanttChartTests.testDrawWithNullInfo,CHART,26,True
131,131,Chart Bug 22 - Strong Oracle,57,60,5,6,0,0,0,0,0,0,16,17,0,1,org.jfree.data.junit.KeyedObjects2DTests.testRemoveColumnByIndex,CHART,22,True
133,133,Chart Bug 3 - Strong Oracle,267,522,27,49,0,0,0,0,0,0,49,95,0,1,org.jfree.data.time.junit.TimeSeriesTests.testCreateCopy3,CHART,3,True
138,138,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.junit.BarChart3DTests.testDrawWithNullInfo,CHART,26,True
151,151,Chart Bug 25 - Strong Oracle,110,130,9,13,0,0,0,0,0,0,18,23,0,1,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationHorizontal,CHART,25,True
156,156,Chart Bug 25 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanHorizontal,CHART,25,True
