,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
0,0,Chart Bug 6 - Strong Oracle,218,479,38,86,0,0,0,0,0,0,21,38,0,1,org.jfree.chart.renderer.xy.junit.HighLowRendererTests.testEquals,CHART,6,False
1,1,Chart Bug 6 - Strong Oracle,223,436,38,77,0,0,0,0,0,0,21,33,0,1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests.testCloning2,CHART,6,False
2,2,Chart Bug 16 - Strong Oracle,16,16,1,1,0,0,0,0,0,0,1,1,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetSeriesCount,CHART,16,False
5,5,Chart Bug 20 - Strong Oracle,1359,2443,104,203,0,0,2,2,0,0,167,294,0,1,org.jfree.chart.junit.StackedBarChartTests.testSetSeriesToolTipGenerator,CHART,20,False
6,6,Chart Bug 6 - Strong Oracle,223,436,38,77,0,0,0,0,0,0,21,33,0,1,org.jfree.chart.renderer.category.junit.BarRendererTests.testCloning,CHART,6,False
7,7,Chart Bug 6 - Strong Oracle,315,702,55,125,0,0,0,0,0,0,33,60,0,1,org.jfree.chart.renderer.xy.junit.XYLine3DRendererTests.testSerialization,CHART,6,False
8,8,Chart Bug 20 - Strong Oracle,272,293,16,18,1,1,0,0,0,0,34,36,0,1,org.jfree.chart.renderer.junit.AbstractRendererTests.testOutlinePaintLookup,CHART,20,False
10,10,Chart Bug 20 - Strong Oracle,1616,3611,127,309,0,0,2,2,0,0,214,496,0,1,org.jfree.chart.junit.BarChartTests.testReplaceDataset,CHART,20,False
11,11,Chart Bug 1 - Strong Oracle,2753,6436,217,509,0,0,9,19,9,18,431,940,0,1,org.jfree.chart.junit.StackedAreaChartTests.testDrawWithNullInfo,CHART,1,False
12,12,Chart Bug 6 - Strong Oracle,216,477,37,85,0,0,0,0,0,0,21,38,0,1,org.jfree.chart.renderer.xy.junit.CandlestickRendererTests.testEquals,CHART,6,False
13,13,Chart Bug 20 - Strong Oracle,928,2267,128,345,0,0,0,0,0,0,114,208,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testCloning,CHART,20,False
14,14,Chart Bug 6 - Strong Oracle,212,419,38,76,0,0,0,0,0,0,20,33,0,1,org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests.testCloning,CHART,6,False
15,15,Chart Bug 6 - Strong Oracle,310,691,55,124,0,0,0,0,0,0,32,58,0,1,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests.testEquals2,CHART,6,False
16,16,Chart Bug 6 - Strong Oracle,215,482,37,86,0,0,0,0,0,0,21,39,0,1,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests.testSerialization,CHART,6,False
17,17,Chart Bug 16 - Strong Oracle,26,26,3,3,0,0,0,0,0,0,2,2,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetCategoryCount,CHART,16,False
18,18,Chart Bug 1 - Strong Oracle,7526,312251,613,20633,1,3,32,5447,31,138,1152,4285,0,1,org.jfree.chart.junit.BarChartTests.testDrawWithNullInfo,CHART,1,False
19,19,Chart Bug 20 - Strong Oracle,10191,59408,734,4834,2,6,10,161,28,192,1569,7757,0,1,org.jfree.chart.junit.LineChartTests.testDrawWithNullInfo,CHART,20,False
22,22,Chart Bug 6 - Strong Oracle,6235,22737,594,2182,0,0,5,46,20,75,963,2991,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization4,CHART,6,False
24,24,Chart Bug 3 - Strong Oracle,12,12,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.data.time.junit.TimeSeriesTests.testCreateCopy2,CHART,3,False
25,25,Chart Bug 6 - Strong Oracle,285,569,49,102,0,0,0,0,0,0,24,43,0,1,org.jfree.chart.renderer.category.junit.BarRenderer3DTests.testSerialization,CHART,6,False
26,26,Chart Bug 7 - Strong Oracle,960,3483,73,282,1,2,1,2,8,20,146,535,0,1,org.jfree.data.time.junit.TimePeriodValuesTests.testEquals,CHART,7,False
27,27,Chart Bug 20 - Strong Oracle,5515,31270,719,4717,0,0,2,4,0,0,741,4366,0,1,org.jfree.chart.junit.JFreeChartTests.testSerialization3,CHART,20,False
28,28,Chart Bug 6 - Strong Oracle,299,573,53,105,0,0,0,0,0,0,40,57,0,1,org.jfree.chart.renderer.xy.junit.XYBoxAndWhiskerRendererTests.testEquals,CHART,6,False
29,29,Chart Bug 21 - Strong Oracle,311,959,22,96,0,0,0,0,0,0,37,136,0,1,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests.testAdd,CHART,21,False
30,30,Chart Bug 6 - Strong Oracle,806,2094,143,419,0,0,0,0,0,0,82,174,0,1,org.jfree.chart.plot.junit.XYPlotTests.testSerialization2,CHART,6,False
31,31,Chart Bug 6 - Strong Oracle,388,1526,46,163,0,0,5,48,0,0,48,168,0,1,org.jfree.chart.renderer.category.junit.LineRenderer3DTests.testHashcode,CHART,6,False
32,32,Chart Bug 20 - Strong Oracle,4195,1102403,409,180874,0,0,2,48,0,0,569,79221,0,2,org.jfree.chart.plot.junit.CategoryPlotTests.testEquals,CHART,20,False
33,33,Chart Bug 6 - Strong Oracle,286,570,49,102,0,0,0,0,0,0,24,43,0,1,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests.testSerialization,CHART,6,False
34,34,Chart Bug 16 - Strong Oracle,12,12,1,1,0,0,0,0,0,0,2,2,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetRowKeys,CHART,16,False
35,35,Chart Bug 6 - Strong Oracle,309,696,55,125,0,0,0,0,0,0,32,59,0,1,org.jfree.chart.renderer.xy.junit.XYStepRendererTests.testSerialization,CHART,6,False
37,37,Chart Bug 7 - Strong Oracle,99,114,10,10,0,0,0,0,1,1,16,18,0,1,org.jfree.data.time.junit.TimePeriodValuesTests.testGetMaxStartIndex,CHART,7,False
38,38,Chart Bug 6 - Strong Oracle,387,1525,46,163,0,0,5,48,0,0,48,168,0,1,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests.testHashcode,CHART,6,False
39,39,Chart Bug 11 - Strong Oracle,86,247,17,48,0,0,0,0,0,0,13,53,0,1,org.jfree.chart.renderer.xy.junit.StackedXYAreaRendererTests.testCloning,CHART,11,False
40,40,Chart Bug 6 - Strong Oracle,315,702,55,125,0,0,0,0,0,0,33,60,0,1,org.jfree.chart.renderer.xy.junit.XYSplineRendererTests.testSerialization,CHART,6,False
41,41,Chart Bug 12 - Strong Oracle,2464,25189,272,4210,0,0,0,0,0,0,271,2199,0,2,org.jfree.chart.plot.junit.MultiplePiePlotTests.testEquals,CHART,12,False
42,42,Chart Bug 1 - Strong Oracle,8624,861513,717,60225,3,8,34,14061,32,724,1327,26826,0,1,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests.testNotification,CHART,1,False
46,46,Chart Bug 1 - Strong Oracle,7120,3570654,595,219668,2,2,23,70698,27,134,1093,4511,0,1,org.jfree.chart.renderer.category.junit.LevelRendererTests.testDrawWithNullInfo,CHART,1,False
47,47,Chart Bug 6 - Strong Oracle,214,481,37,86,0,0,0,0,0,0,21,39,0,1,org.jfree.chart.renderer.category.junit.LineAndShapeRendererTests.testSerialization,CHART,6,False
48,48,Chart Bug 7 - Strong Oracle,238,287,20,22,0,0,0,0,1,1,41,49,0,1,org.jfree.data.time.junit.TimePeriodValuesCollectionTests.testGetDomainBoundsWithInterval,CHART,7,False
49,49,Chart Bug 20 - Strong Oracle,8075,22572,582,1760,0,0,7,34,20,61,1239,2963,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.test1654215,CHART,20,False
50,50,Chart Bug 6 - Strong Oracle,388,1526,46,163,0,0,5,48,0,0,48,168,0,1,org.jfree.chart.renderer.category.junit.StackedAreaRendererTests.testHashcode,CHART,6,False
51,51,Chart Bug 6 - Strong Oracle,214,481,37,86,0,0,0,0,0,0,21,39,0,1,org.jfree.chart.renderer.xy.junit.XYDotRendererTests.testSerialization,CHART,6,False
53,53,Chart Bug 6 - Strong Oracle,296,595,51,107,0,0,0,0,0,0,25,45,0,1,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testSerialization,CHART,6,False
54,54,Chart Bug 20 - Strong Oracle,2656,4228,126,199,1,1,2,2,0,0,347,508,0,1,org.jfree.chart.renderer.category.junit.AreaRendererTests.testGetLegendItemSeriesIndex,CHART,20,False
55,55,Chart Bug 21 - Strong Oracle,309,1036,37,140,0,0,0,0,0,0,49,162,0,2,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests.testEquals,CHART,21,False
56,56,Chart Bug 20 - Strong Oracle,2658,12728,102,1139,0,0,2,4,1,4,384,1131,0,1,org.jfree.chart.axis.junit.LogAxisTests.testAutoRange1,CHART,20,False
57,57,Chart Bug 1 - Strong Oracle,2753,6436,217,509,0,0,9,19,9,18,431,940,0,1,org.jfree.chart.junit.StackedBarChartTests.testDrawWithNullInfo,CHART,1,False
59,59,Chart Bug 1 - Strong Oracle,7073,3688895,595,226760,1,1,25,73078,33,142,1078,4317,0,1,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationVertical,CHART,1,False
60,60,Chart Bug 6 - Strong Oracle,171,369,29,65,0,0,0,0,0,0,18,30,0,1,org.jfree.chart.renderer.xy.junit.YIntervalRendererTests.testCloning,CHART,6,False
61,61,Chart Bug 20 - Strong Oracle,248,263,15,17,1,1,0,0,0,0,29,30,0,1,org.jfree.chart.renderer.junit.AbstractRendererTests.testPaintLookup,CHART,20,False
62,62,Chart Bug 6 - Strong Oracle,214,481,37,86,0,0,0,0,0,0,21,39,0,1,org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests.testSerialization,CHART,6,False
63,63,Chart Bug 20 - Strong Oracle,1590,3579,122,304,0,0,2,2,0,0,211,493,0,1,org.jfree.chart.junit.AreaChartTests.testReplaceDataset,CHART,20,False
64,64,Chart Bug 6 - Strong Oracle,284,564,49,101,0,0,0,0,0,0,24,42,0,1,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests.testEquals,CHART,6,False
65,65,Chart Bug 6 - Strong Oracle,224,437,38,77,0,0,0,0,0,0,21,33,0,1,org.jfree.chart.renderer.category.junit.BarRenderer3DTests.testCloning,CHART,6,False
66,66,Chart Bug 6 - Strong Oracle,574,1061,103,198,0,0,0,0,0,0,45,80,0,1,org.jfree.chart.plot.junit.CombinedDomainCategoryPlotTests.testSerialization,CHART,6,False
67,67,Chart Bug 6 - Strong Oracle,382,1515,46,163,0,0,5,48,0,0,47,166,0,1,org.jfree.chart.renderer.xy.junit.XYBubbleRendererTests.testHashcode,CHART,6,False
