,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION
0,Chart Bug 6 - Strong Oracle,218,479,38,86,0,0,0,0,0,0,21,38,0,1,org.jfree.chart.renderer.xy.junit.HighLowRendererTests.testEquals,CHART,6
1,Chart Bug 6 - Strong Oracle,223,436,38,77,0,0,0,0,0,0,21,33,0,1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests.testCloning2,CHART,6
2,Chart Bug 16 - Strong Oracle,16,16,1,1,0,0,0,0,0,0,1,1,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetSeriesCount,CHART,16
3,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.renderer.category.junit.LevelRendererTests.testDrawWithNullInfo,CHART,26
4,Chart Bug 11 - Strong Oracle,52,181,9,34,0,0,0,0,0,0,11,43,0,2,org.jfree.chart.util.junit.ShapeUtilitiesTests.testEqualGeneralPaths,CHART,11
5,Chart Bug 20 - Strong Oracle,1359,2443,104,203,0,0,2,2,0,0,167,294,0,1,org.jfree.chart.junit.StackedBarChartTests.testSetSeriesToolTipGenerator,CHART,20
6,Chart Bug 6 - Strong Oracle,223,436,38,77,0,0,0,0,0,0,21,33,0,1,org.jfree.chart.renderer.category.junit.BarRendererTests.testCloning,CHART,6
7,Chart Bug 6 - Strong Oracle,315,702,55,125,0,0,0,0,0,0,33,60,0,1,org.jfree.chart.renderer.xy.junit.XYLine3DRendererTests.testSerialization,CHART,6
8,Chart Bug 20 - Strong Oracle,272,293,16,18,1,1,0,0,0,0,34,36,0,1,org.jfree.chart.renderer.junit.AbstractRendererTests.testOutlinePaintLookup,CHART,20
9,Chart Bug 26 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization3,CHART,26
10,Chart Bug 20 - Strong Oracle,1616,3611,127,309,0,0,2,2,0,0,214,496,0,1,org.jfree.chart.junit.BarChartTests.testReplaceDataset,CHART,20
11,Chart Bug 1 - Strong Oracle,2753,6436,217,509,0,0,9,19,9,18,431,940,0,1,org.jfree.chart.junit.StackedAreaChartTests.testDrawWithNullInfo,CHART,1
12,Chart Bug 6 - Strong Oracle,216,477,37,85,0,0,0,0,0,0,21,38,0,1,org.jfree.chart.renderer.xy.junit.CandlestickRendererTests.testEquals,CHART,6
13,Chart Bug 20 - Strong Oracle,928,2267,128,345,0,0,0,0,0,0,114,208,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testCloning,CHART,20
14,Chart Bug 6 - Strong Oracle,212,419,38,76,0,0,0,0,0,0,20,33,0,1,org.jfree.chart.renderer.xy.junit.XYAreaRenderer2Tests.testCloning,CHART,6
15,Chart Bug 6 - Strong Oracle,310,691,55,124,0,0,0,0,0,0,32,58,0,1,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests.testEquals2,CHART,6
16,Chart Bug 6 - Strong Oracle,215,482,37,86,0,0,0,0,0,0,21,39,0,1,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests.testSerialization,CHART,6
17,Chart Bug 16 - Strong Oracle,26,26,3,3,0,0,0,0,0,0,2,2,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetCategoryCount,CHART,16
18,Chart Bug 1 - Strong Oracle,7526,312251,613,20633,1,3,32,5447,31,138,1152,4285,0,1,org.jfree.chart.junit.BarChartTests.testDrawWithNullInfo,CHART,1
19,Chart Bug 20 - Strong Oracle,10191,59408,734,4834,2,6,10,161,28,192,1569,7757,0,1,org.jfree.chart.junit.LineChartTests.testDrawWithNullInfo,CHART,20
20,Chart Bug 16 - Strong Oracle,16,16,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetRowIndex,CHART,16
21,Chart Bug 22 - Strong Oracle,9,9,0,0,0,0,0,0,0,0,3,3,0,1,org.jfree.data.junit.KeyedObjects2DTests.testRemoveRowByKey,CHART,22
22,Chart Bug 6 - Strong Oracle,6235,22737,594,2182,0,0,5,46,20,75,963,2991,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization4,CHART,6
23,Chart Bug 4 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange2,CHART,4
24,Chart Bug 3 - Strong Oracle,12,12,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.data.time.junit.TimeSeriesTests.testCreateCopy2,CHART,3
25,Chart Bug 6 - Strong Oracle,285,569,49,102,0,0,0,0,0,0,24,43,0,1,org.jfree.chart.renderer.category.junit.BarRenderer3DTests.testSerialization,CHART,6
26,Chart Bug 7 - Strong Oracle,960,3483,73,282,1,2,1,2,8,20,146,535,0,1,org.jfree.data.time.junit.TimePeriodValuesTests.testEquals,CHART,7
27,Chart Bug 20 - Strong Oracle,5515,31270,719,4717,0,0,2,4,0,0,741,4366,0,1,org.jfree.chart.junit.JFreeChartTests.testSerialization3,CHART,20
28,Chart Bug 6 - Strong Oracle,299,573,53,105,0,0,0,0,0,0,40,57,0,1,org.jfree.chart.renderer.xy.junit.XYBoxAndWhiskerRendererTests.testEquals,CHART,6
29,Chart Bug 21 - Strong Oracle,311,959,22,96,0,0,0,0,0,0,37,136,0,1,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests.testAdd,CHART,21
30,Chart Bug 6 - Strong Oracle,806,2094,143,419,0,0,0,0,0,0,82,174,0,1,org.jfree.chart.plot.junit.XYPlotTests.testSerialization2,CHART,6
31,Chart Bug 6 - Strong Oracle,388,1526,46,163,0,0,5,48,0,0,48,168,0,1,org.jfree.chart.renderer.category.junit.LineRenderer3DTests.testHashcode,CHART,6
32,Chart Bug 20 - Strong Oracle,4195,1102403,409,180874,0,0,2,48,0,0,569,79221,0,2,org.jfree.chart.plot.junit.CategoryPlotTests.testEquals,CHART,20
33,Chart Bug 6 - Strong Oracle,286,570,49,102,0,0,0,0,0,0,24,43,0,1,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests.testSerialization,CHART,6
34,Chart Bug 16 - Strong Oracle,12,12,1,1,0,0,0,0,0,0,2,2,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetRowKeys,CHART,16
35,Chart Bug 6 - Strong Oracle,309,696,55,125,0,0,0,0,0,0,32,59,0,1,org.jfree.chart.renderer.xy.junit.XYStepRendererTests.testSerialization,CHART,6
