,VERSION,TESTNAME
0,7,org.jfree.data.time.junit.TimePeriodValuesTests.testGetMaxMiddleIndex
1,11,org.jfree.chart.util.junit.ShapeUtilitiesTests.testEqualGeneralPaths
2,1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests.test2947660
3,18,org.jfree.data.category.junit.DefaultCategoryDatasetTests.testBug1835955
4,18,org.jfree.data.junit.DefaultKeyedValues2DTests.testRemoveColumnByKey
5,18,org.jfree.data.junit.DefaultKeyedValuesTests.testRemoveValue
6,18,org.jfree.data.junit.DefaultKeyedValuesTests.testGetIndex2
7,20,org.jfree.chart.plot.junit.ValueMarkerTests.test1808376
8,12,org.jfree.chart.plot.junit.MultiplePiePlotTests.testConstructor
9,26,org.jfree.chart.junit.AreaChartTests.testDrawWithNullInfo
10,26,org.jfree.chart.junit.BarChart3DTests.testDrawWithNullInfo
11,26,org.jfree.chart.junit.BarChartTests.testDrawWithNullInfo
12,26,org.jfree.chart.junit.GanttChartTests.testDrawWithNullInfo
13,26,org.jfree.chart.junit.GanttChartTests.testDrawWithNullInfo2
14,26,org.jfree.chart.junit.LineChart3DTests.testDrawWithNullInfo
15,26,org.jfree.chart.junit.LineChartTests.testDrawWithNullInfo
16,26,org.jfree.chart.junit.StackedAreaChartTests.testDrawWithNullInfo
17,26,org.jfree.chart.junit.StackedBarChart3DTests.testDrawWithNullInfo
18,26,org.jfree.chart.junit.StackedBarChartTests.testDrawWithNullInfo
19,26,org.jfree.chart.junit.WaterfallChartTests.testDrawWithNullInfo
20,26,org.jfree.chart.plot.junit.CategoryPlotTests.test1654215
21,26,org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization3
22,26,org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization4
23,26,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullInfo
24,26,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests.testDrawWithNullInfo
25,26,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests.testDrawWithNullInfo
26,26,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests.testDrawWithNullInfo
27,26,org.jfree.chart.renderer.category.junit.LevelRendererTests.testDrawWithNullInfo
28,26,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests.testDrawWithNullInfo
29,26,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullInfo
30,26,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests.testDrawWithNullInfo
31,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetCategoryIndex
32,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testSetCategoryKeys
33,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetSeriesIndex
34,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetRowCount
35,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetRowIndex
36,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetColumnCount
37,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetColumnIndex
38,16,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testCloning2
39,14,org.jfree.chart.plot.junit.CategoryPlotTests.testRemoveRangeMarker
40,14,org.jfree.chart.plot.junit.CategoryPlotTests.testRemoveDomainMarker
41,14,org.jfree.chart.plot.junit.XYPlotTests.testRemoveRangeMarker
42,14,org.jfree.chart.plot.junit.XYPlotTests.testRemoveDomainMarker
43,5,org.jfree.data.xy.junit.XYSeriesTests.testBug1955483
44,10,org.jfree.chart.imagemap.junit.StandardToolTipTagFragmentGeneratorTests.testGenerateURLFragment
45,6,org.jfree.chart.util.junit.ShapeListTests.testSerialization
46,6,org.jfree.chart.util.junit.ShapeListTests.testEquals
47,13,org.jfree.chart.block.junit.BorderArrangementTests.testSizingWithWidthConstraint
48,19,org.jfree.chart.plot.junit.CategoryPlotTests.testGetRangeAxisIndex
49,19,org.jfree.chart.plot.junit.CategoryPlotTests.testGetDomainAxisIndex
50,23,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests.testEquals
51,24,org.jfree.chart.renderer.junit.GrayPaintScaleTests.testGetPaint
52,9,org.jfree.data.time.junit.TimeSeriesTests.testBug1864222
53,22,org.jfree.data.junit.KeyedObjects2DTests.testRemoveColumnByKey
54,22,org.jfree.data.junit.KeyedObjects2DTests.testRemoveValue
55,22,org.jfree.data.junit.KeyedObjects2DTests.testGetValueByKey
56,22,org.jfree.data.junit.KeyedObjects2DTests.testRemoveColumnByIndex
57,22,org.jfree.data.junit.KeyedObjects2DTests.testSetObject
58,22,org.jfree.data.junit.KeyedObjects2DTests.testRemoveRowByKey
59,15,org.jfree.chart.plot.junit.PiePlot3DTests.testDrawWithNullDataset
60,17,org.jfree.data.time.junit.TimeSeriesTests.testBug1832432
61,4,org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange1
62,4,org.jfree.chart.axis.junit.LogAxisTests.testXYAutoRange2
63,4,org.jfree.chart.axis.junit.NumberAxisTests.testXYAutoRange1
64,4,org.jfree.chart.axis.junit.NumberAxisTests.testXYAutoRange2
65,4,org.jfree.chart.axis.junit.ValueAxisTests.testAxisMargins
66,4,org.jfree.chart.junit.JFreeChartTests.testSerialization4
67,4,org.jfree.chart.junit.ScatterPlotTests.testDrawWithNullInfo
68,4,org.jfree.chart.junit.ScatterPlotTests.testSetSeriesToolTipGenerator
69,4,org.jfree.chart.junit.ScatterPlotTests.testReplaceDataset
70,4,org.jfree.chart.junit.TimeSeriesChartTests.testDrawWithNullInfo
71,4,org.jfree.chart.junit.TimeSeriesChartTests.testSetSeriesToolTipGenerator
72,4,org.jfree.chart.junit.TimeSeriesChartTests.testReplaceDataset
73,4,org.jfree.chart.junit.XYAreaChartTests.testDrawWithNullInfo
74,4,org.jfree.chart.junit.XYAreaChartTests.testSetSeriesToolTipGenerator
75,4,org.jfree.chart.junit.XYAreaChartTests.testReplaceDataset
76,4,org.jfree.chart.junit.XYStepAreaChartTests.testDrawWithNullInfo
77,4,org.jfree.chart.junit.XYStepAreaChartTests.testSetSeriesToolTipGenerator
78,4,org.jfree.chart.junit.XYStepAreaChartTests.testReplaceDataset
79,4,org.jfree.chart.junit.XYStepChartTests.testDrawWithNullInfo
80,4,org.jfree.chart.junit.XYStepChartTests.testSetSeriesToolTipGenerator
81,4,org.jfree.chart.junit.XYStepChartTests.testReplaceDataset
82,4,org.jfree.chart.plot.junit.XYPlotTests.testDrawRangeGridlines
83,3,org.jfree.data.time.junit.TimeSeriesTests.testCreateCopy3
84,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanVertical
85,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationVertical
86,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanHorizontal
87,25,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationHorizontal
88,8,org.jfree.data.time.junit.WeekTests.testConstructor
89,2,org.jfree.data.general.junit.DatasetUtilitiesTests.testBug2849731_2
90,2,org.jfree.data.general.junit.DatasetUtilitiesTests.testBug2849731_3
91,21,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests.testGetRangeBounds
