,Unnamed: 0,Unnamed: 0.1,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
1,1,1,Chart Bug 18 - Weak Oracle,56,68,4,6,0,0,0,0,0,0,15,16,0,2,org.jfree.data.category.junit.DefaultCategoryDatasetTests.testBug1835955,CHART,18,True
2,2,2,Chart Bug 18 - Weak Oracle,23,23,0,0,0,0,0,0,0,0,9,9,0,1,org.jfree.data.category.junit.DefaultCategoryDatasetTests.testBug1835955,CHART,18,True
15,15,15,Chart Bug 4 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.chart.plot.junit.XYPlotTests.testDrawRangeGridlines,CHART,4,True
22,22,22,Chart Bug 7 - Weak Oracle,144,213,11,11,0,0,0,0,1,1,34,43,0,12,org.jfree.data.time.junit.TimePeriodValuesTests.testGetMaxMiddleIndex,CHART,7,True
37,37,37,Chart Bug 16 - Weak Oracle,22,22,0,0,0,0,0,0,0,0,2,2,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testGetCategoryIndex,CHART,16,True
41,41,41,Chart Bug 26 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.chart.renderer.category.junit.GroupedStackedBarRendererTests.testDrawWithNullInfo,CHART,26,True
46,46,46,Chart Bug 26 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.chart.junit.StackedAreaChartTests.testDrawWithNullInfo,CHART,26,True
54,54,54,Chart Bug 4 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.chart.axis.junit.NumberAxisTests.testXYAutoRange1,CHART,4,True
55,55,55,Chart Bug 16 - Weak Oracle,35,35,4,4,0,0,0,0,0,0,3,3,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testSetCategoryKeys,CHART,16,True
56,56,56,Chart Bug 16 - Weak Oracle,52,52,5,5,0,0,0,0,0,0,5,5,0,1,org.jfree.data.category.junit.DefaultIntervalCategoryDatasetTests.testSetCategoryKeys,CHART,16,True
72,72,72,Chart Bug 26 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testSerialization4,CHART,26,True
76,76,76,Chart Bug 25 - Weak Oracle,665,1006,65,104,0,0,6,7,9,10,75,127,0,1,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanVertical,CHART,25,True
77,77,77,Chart Bug 25 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,3,3,0,2,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullMeanVertical,CHART,25,True
92,92,92,Chart Bug 26 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.chart.renderer.category.junit.LevelRendererTests.testDrawWithNullInfo,CHART,26,True
95,95,95,Chart Bug 25 - Weak Oracle,120,263,10,27,0,0,0,0,0,0,20,45,0,2,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationVertical,CHART,25,True
96,96,96,Chart Bug 25 - Weak Oracle,382,608,38,64,0,0,1,2,1,2,52,85,0,2,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationVertical,CHART,25,True
98,98,98,Chart Bug 26 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.chart.junit.LineChartTests.testDrawWithNullInfo,CHART,26,True
101,101,101,Chart Bug 18 - Weak Oracle,56,68,4,6,0,0,0,0,0,0,15,16,0,2,org.jfree.data.junit.DefaultKeyedValues2DTests.testRemoveColumnByKey,CHART,18,True
102,102,102,Chart Bug 18 - Weak Oracle,23,23,0,0,0,0,0,0,0,0,9,9,0,1,org.jfree.data.junit.DefaultKeyedValues2DTests.testRemoveColumnByKey,CHART,18,True
103,103,103,Chart Bug 19 - weak Oracle,32,48,4,8,0,0,0,0,0,0,4,4,0,5,org.jfree.chart.plot.junit.CategoryPlotTests.testGetDomainAxisIndex,CHART,19,True
107,107,107,Chart Bug 23 - Weak Oracle,457,1171,80,213,0,0,0,0,0,0,50,95,0,2,org.jfree.chart.renderer.category.junit.MinMaxCategoryRendererTests.testEquals,CHART,23,True
109,109,109,Chart Bug 1 - Weak Oracle,13,13,1,1,0,0,0,0,0,0,3,3,0,1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests.test2947660,CHART,1,True
112,112,112,Chart Bug 12 - Weak Oracle,1013,1501,39,63,0,0,0,0,0,0,116,167,0,2,org.jfree.chart.plot.junit.MultiplePiePlotTests.testConstructor,CHART,12,True
