,Unnamed: 0,Unnamed: 0.1,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
0,0,0,Chart Bug 6 - Weak Oracle,229,445,38,77,0,0,0,0,0,0,22,34,0,1,org.jfree.chart.renderer.category.junit.AbstractCategoryItemRendererTests.testCloning_LegendItemLabelGenerator,CHART,6,False
3,3,3,Chart Bug 6 - Weak Oracle,217,484,37,86,0,0,0,0,0,0,22,40,0,1,org.jfree.chart.renderer.xy.junit.CandlestickRendererTests.testSerialization,CHART,6,False
4,4,4,Chart Bug 6 - Weak Oracle,218,485,37,86,0,0,0,0,0,0,22,40,0,1,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests.testSerialization,CHART,6,False
5,5,5,Chart Bug 12 - Weak Oracle,1365,2327,103,234,0,0,0,0,0,0,146,227,0,1,org.jfree.chart.plot.junit.MultiplePiePlotTests.testCloning,CHART,12,False
6,6,6,Chart Bug 1 - Weak Oracle,7392,3456161,605,212761,2,2,23,68332,27,163,1151,5194,0,1,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testDrawWithNullMaxRegular,CHART,1,False
7,7,7,Chart Bug 6 - Weak Oracle,287,567,49,101,0,0,0,0,0,0,25,43,0,1,org.jfree.chart.renderer.category.junit.LayeredBarRendererTests.testEquals,CHART,6,False
8,8,8,Chart Bug 22 - Weak Oracle,121,146,12,15,0,0,0,0,0,0,15,20,0,9,org.jfree.data.statistics.junit.DefaultBoxAndWhiskerCategoryDatasetTests.testAdd,CHART,22,False
9,9,9,Chart Bug 2 - Weak Oracle,3091,8334,280,775,0,0,3,9,2,2,435,1051,0,9,org.jfree.chart.junit.XYBarChartTests.testReplaceDataset,CHART,2,False
10,10,10,Chart Bug 6 - Weak Oracle,217,484,37,86,0,0,0,0,0,0,22,40,0,1,org.jfree.chart.renderer.category.junit.ScatterRendererTests.testSerialization,CHART,6,False
11,11,11,Chart Bug 4 - Weak Oracle,463,483,42,47,0,0,2,2,0,0,56,56,0,1,org.jfree.chart.renderer.xy.junit.StackedXYAreaRenderer2Tests.testFindRangeBounds,CHART,4,False
12,12,12,Chart Bug 20 - Weak Oracle,1361,2441,107,209,0,0,2,2,0,0,171,308,0,1,org.jfree.chart.junit.LineChart3DTests.testSetSeriesToolTipGenerator,CHART,20,False
13,13,13,Chart Bug 20 - Weak Oracle,11277,54257,767,3979,1,3,12,81,30,114,1822,7738,0,1,org.jfree.chart.junit.StackedBarChart3DTests.testDrawWithNullInfo,CHART,20,False
14,14,14,Chart Bug 2 - Weak Oracle,691,1787,36,58,0,0,0,0,1,6,88,220,0,6,org.jfree.chart.renderer.xy.junit.ClusteredXYBarRendererTests.testFindDomainBounds,CHART,2,False
16,16,16,Chart Bug 1 - Weak Oracle,2758,6441,218,510,0,0,9,19,9,18,432,941,0,1,org.jfree.chart.junit.StackedBarChartTests.testDrawWithNullInfo,CHART,1,False
17,17,17,Chart Bug 20 - Weak Oracle,1366,2450,105,204,0,0,2,2,0,0,169,296,0,1,org.jfree.chart.junit.StackedBarChartTests.testSetSeriesToolTipGenerator,CHART,20,False
18,18,18,Chart Bug 20 - Weak Oracle,4202,1102410,410,180875,0,0,2,48,0,0,571,79223,0,2,org.jfree.chart.plot.junit.CategoryPlotTests.testEquals,CHART,20,False
19,19,19,Chart Bug 6 - Weak Oracle,6955,34690,688,3561,0,0,6,92,21,131,1079,4294,0,1,org.jfree.chart.plot.junit.XYPlotTests.testSerialization3,CHART,6,False
20,20,20,Chart Bug 1 - Weak Oracle,7464,3582257,622,220614,1,2,30,70783,28,182,1147,6108,0,1,org.jfree.chart.renderer.category.junit.IntervalBarRendererTests.testDrawWithNullInfo,CHART,1,False
21,21,21,Chart Bug 6 - Weak Oracle,533,2773,66,270,0,0,6,100,0,0,60,312,0,1,org.jfree.chart.renderer.xy.junit.StackedXYBarRendererTests.testHashcode,CHART,6,False
23,23,23,Chart Bug 6 - Weak Oracle,175,373,29,65,0,0,0,0,0,0,19,31,0,1,org.jfree.chart.renderer.category.junit.StatisticalLineAndShapeRendererTests.testCloning,CHART,6,False
24,24,24,Chart Bug 20 - Weak Oracle,1365,2449,105,204,0,0,2,2,0,0,169,296,0,1,org.jfree.chart.junit.StackedAreaChartTests.testSetSeriesToolTipGenerator,CHART,20,False
25,25,25,Chart Bug 7 - Weak Oracle,373,518,20,24,0,0,0,0,2,2,70,93,0,9,org.jfree.data.time.junit.TimePeriodValuesTests.testAddValue,CHART,7,False
26,26,26,Chart Bug 6 - Weak Oracle,290,581,51,105,0,0,0,0,0,0,32,51,0,1,org.jfree.chart.renderer.xy.junit.XYDifferenceRendererTests.testEquals,CHART,6,False
27,27,27,Chart Bug 6 - Weak Oracle,217,484,37,86,0,0,0,0,0,0,22,40,0,1,org.jfree.chart.renderer.xy.junit.VectorRendererTests.testSerialization,CHART,6,False
28,28,28,Chart Bug 6 - Weak Oracle,202,415,34,73,0,0,0,0,0,0,20,33,0,1,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testCloning,CHART,6,False
29,29,29,Chart Bug 6 - Weak Oracle,220,481,37,85,0,0,0,0,0,0,22,39,0,1,org.jfree.chart.renderer.category.junit.LineRenderer3DTests.testEquals,CHART,6,False
30,30,30,Chart Bug 4 - Weak Oracle,334,343,33,33,0,0,2,2,0,0,46,46,0,1,org.jfree.chart.plot.junit.XYPlotTests.testGetRangeAxisForDataset,CHART,4,False
31,31,31,Chart Bug 11 - Weak Oracle,236,1266,20,120,0,0,5,48,0,0,40,182,0,1,org.jfree.chart.renderer.xy.junit.XYAreaRendererTests.testHashcode,CHART,11,False
32,32,32,Chart Bug 6 - Weak Oracle,1086,5047,191,965,0,0,0,0,0,0,103,321,0,1,org.jfree.chart.plot.junit.XYPlotTests.testSerialization1,CHART,6,False
33,33,33,Chart Bug 20 - Weak Oracle,1473,2001,108,151,1,1,2,2,0,0,180,221,0,1,org.jfree.chart.renderer.category.junit.BoxAndWhiskerRendererTests.testGetLegendItem,CHART,20,False
34,34,34,Chart Bug 6 - Weak Oracle,263,492,46,88,0,0,0,0,0,0,24,38,0,1,org.jfree.chart.renderer.xy.junit.AbstractXYItemRendererTests.testCloning_LegendItemToolTipGenerator,CHART,6,False
35,35,35,Chart Bug 6 - Weak Oracle,344,640,50,103,0,0,0,0,0,0,33,54,0,1,org.jfree.chart.renderer.junit.AbstractRendererTests.testSerialization,CHART,6,False
36,36,36,Chart Bug 1 - Weak Oracle,7078,3688900,596,226761,1,1,25,73078,33,142,1079,4318,0,1,org.jfree.chart.renderer.category.junit.StatisticalBarRendererTests.testDrawWithNullDeviationVertical,CHART,1,False
38,38,38,Chart Bug 6 - Weak Oracle,577,1048,103,194,0,0,0,0,0,0,46,77,0,1,org.jfree.chart.plot.junit.CombinedRangeCategoryPlotTests.testEquals,CHART,6,False
39,39,39,Chart Bug 6 - Weak Oracle,689,2232,118,414,0,0,0,0,0,0,76,206,0,1,org.jfree.chart.plot.junit.CategoryPlotTests.testEquals,CHART,6,False
40,40,40,Chart Bug 4 - Weak Oracle,1364,3483,136,326,0,0,2,2,0,0,164,396,0,1,org.jfree.chart.renderer.xy.junit.XYLineAndShapeRendererTests.testFindDomainBounds,CHART,4,False
