,Unnamed: 0,Unnamed: 0.1,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
2,2,2,Lang Bug 47 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,2,2,0,1,org.apache.commons.lang.text.StrBuilderTest.testLang412Right,LANG,47,True
5,5,5,Lang Bug 57 - Strong Oracle,6,6,1,1,0,0,0,0,0,0,2,2,0,1,org.apache.commons.lang.LocaleUtilsTest.testToLocale_1Part,LANG,57,True
7,7,7,Lang Bug 35 - Strong Oracle,23,23,1,1,0,0,0,0,0,0,3,3,0,1,org.apache.commons.lang3.ArrayUtilsAddTest.testLANG571,LANG,35,True
11,11,11,Lang Bug 34 - Strong Oracle,7,7,1,1,0,0,0,0,0,0,3,3,0,3,org.apache.commons.lang3.builder.ToStringBuilderTest.testReflectionFloatArrayArray,LANG,34,True
14,14,14,Lang Bug 9 - Strong Oracle,146,151,9,10,0,0,0,0,0,0,27,27,0,1,org.apache.commons.lang3.time.FastDateFormat_ParserTest.testLANG_832,LANG,9,True
16,16,16,Lang Bug 58 - Strong Oracle,14,14,0,0,0,0,0,0,0,0,6,6,0,1,org.apache.commons.lang.math.NumberUtilsTest.testLang300,LANG,58,True
18,18,18,Lang Bug 49 - Strong Oracle,26,26,2,2,0,0,0,0,0,0,4,4,0,2,org.apache.commons.lang.math.FractionTest.testReduce,LANG,49,True
19,19,19,Lang Bug 17 - Strong Oracle,13,13,3,3,0,0,0,0,0,0,2,2,0,3,org.apache.commons.lang3.StringEscapeUtilsTest.testLang720,LANG,17,True
21,21,21,Lang Bug 54 - Strong Oracle,24,24,2,2,0,0,0,0,0,0,7,7,0,1,org.apache.commons.lang.LocaleUtilsTest.testLang328,LANG,54,True
22,22,22,Lang Bug 33 - Strong Oracle,8,8,0,0,0,0,0,0,0,0,2,2,0,1,org.apache.commons.lang3.ClassUtilsTest.testToClass_object,LANG,33,True
24,24,24,Lang Bug 41 - Strong Oracle,28,28,2,2,0,0,0,0,0,0,4,4,0,1,org.apache.commons.lang.ClassUtilsTest.test_getShortClassName_Class,LANG,41,True
28,28,28,Lang Bug 38 - Strong Oracle,6,6,0,0,0,0,0,0,0,0,2,2,0,1,org.apache.commons.lang3.time.FastDateFormatTest.testLang538,LANG,38,True
30,30,30,Lang Bug 34 - Strong Oracle,7,7,1,1,0,0,0,0,0,0,3,3,0,3,org.apache.commons.lang3.builder.ToStringBuilderTest.testReflectionArrayCycle,LANG,34,True
35,35,35,Lang Bug 59 - Strong Oracle,10,10,0,0,0,0,0,0,0,0,2,2,0,1,org.apache.commons.lang.text.StrBuilderAppendInsertTest.testLang299,LANG,59,True
36,36,36,Lang Bug 30 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContainsNone_CharArrayWithBadSupplementaryChars,LANG,30,True
