,Unnamed: 0,Unnamed: 0.1,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
0,0,0,Lang Bug 17 - Strong Oracle,12,12,3,3,0,0,0,0,0,0,2,2,0,5,org.apache.commons.lang3.text.translate.NumericEntityEscaperTest.testBetween,LANG,17,False
1,1,1,Lang Bug 10 - Strong Oracle,274,404,28,47,0,0,1,5,0,0,31,37,0,6,org.apache.commons.lang3.time.FastDateFormatTest.testDateDefaults,LANG,10,False
3,3,3,Lang Bug 10 - Strong Oracle,256,2939,18,231,0,0,2,28,0,0,48,586,0,1,org.apache.commons.lang3.time.FastDateParserTest.test_Equality_Hash,LANG,10,False
4,4,4,Lang Bug 10 - Strong Oracle,110,110,11,11,0,0,0,0,0,0,16,16,0,1,org.apache.commons.lang3.time.FastDateFormat_ParserTest.testPatternMatches,LANG,10,False
6,6,6,Lang Bug 1 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,6,org.apache.commons.lang3.StringUtilsTest.testJoin_ArrayChar,LANG,1,False
8,8,8,Lang Bug 60 - Strong Oracle,191,543,22,82,0,0,0,0,0,0,16,39,0,10,org.apache.commons.lang.text.StrBuilderTest.testDeleteAll_String,LANG,60,False
9,9,9,Lang Bug 34 - Strong Oracle,555,1802,71,239,0,0,0,0,0,0,92,282,0,1,org.apache.commons.lang3.builder.StandardToStringStyleTest.testObjectArray,LANG,34,False
10,10,10,Lang Bug 60 - Strong Oracle,17,648,3,175,0,0,0,0,0,0,1,1,0,4,org.apache.commons.lang.text.StrBuilderTest.testContains_char,LANG,60,False
12,12,12,Lang Bug 17 - Strong Oracle,34,94,6,21,0,0,0,0,0,0,4,8,0,3,org.apache.commons.lang3.StringEscapeUtilsTest.testLang313,LANG,17,False
13,13,13,Lang Bug 34 - Strong Oracle,447,1070,55,139,0,0,0,0,0,0,69,151,0,3,org.apache.commons.lang3.builder.SimpleToStringStyleTest.testLongArrayArray,LANG,34,False
15,15,15,Lang Bug 17 - Strong Oracle,30,72,6,17,0,0,0,0,0,0,3,5,0,32,org.apache.commons.lang3.StringEscapeUtilsTest.testEscapeXml,LANG,17,False
17,17,17,Lang Bug 17 - Strong Oracle,30,162,6,37,0,0,0,0,0,0,3,15,0,6,org.apache.commons.lang3.StringEscapeUtilsTest.testUnescapeCsvWriter,LANG,17,False
20,20,20,Lang Bug 10 - Strong Oracle,454,763,40,85,0,0,1,6,0,0,57,86,0,12,org.apache.commons.lang3.time.FastDateFormatTest.testTimeDateDefaults,LANG,10,False
23,23,23,Lang Bug 60 - Strong Oracle,183,316,21,38,0,0,0,0,0,0,15,27,0,4,org.apache.commons.lang.text.StrBuilderTest.testDeleteFirst_String,LANG,60,False
25,25,25,Lang Bug 17 - Strong Oracle,30,108,6,25,0,0,0,0,0,0,3,9,0,150,org.apache.commons.lang3.StringEscapeUtilsTest.testUnescapeJava,LANG,17,False
26,26,26,Lang Bug 64 - Strong Oracle,6,6,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.lang.enums.ValuedEnumTest.testCompareTo_nonEnumType,LANG,64,False
27,27,27,Lang Bug 34 - Strong Oracle,297,1043,43,197,0,0,0,0,0,0,48,143,0,1,org.apache.commons.lang3.text.StrTokenizerTest.test4,LANG,34,False
29,29,29,Lang Bug 60 - Strong Oracle,18,407,3,109,0,0,0,0,0,0,1,1,0,5,org.apache.commons.lang.text.StrBuilderTest.testIndexOf_char,LANG,60,False
31,31,31,Lang Bug 34 - Strong Oracle,552,1793,71,239,0,0,0,0,0,0,91,279,0,1,org.apache.commons.lang3.builder.ShortPrefixToStringStyleTest.testObjectArray,LANG,34,False
32,32,32,Lang Bug 17 - Strong Oracle,33,129,6,29,0,0,0,0,0,0,4,12,0,1,org.apache.commons.lang3.text.translate.UnicodeUnescaperTest.testUPlus,LANG,17,False
33,33,33,Lang Bug 61 - Strong Oracle,39,682,7,168,0,0,0,0,0,0,2,34,0,6,org.apache.commons.lang.text.StrBuilderTest.testIndexOf_String_int,LANG,61,False
34,34,34,Lang Bug 10 - Strong Oracle,576,50108,42,5060,1,11,0,0,0,0,103,8087,0,67,org.apache.commons.lang3.time.FastDateParserTest.testLocales_ShortNoEra_AD,LANG,10,False
38,38,38,Lang Bug 13 - Strong Oracle,30,66,2,2,0,0,0,0,0,0,6,14,0,1,org.apache.commons.lang3.RangeTest.testSerializing,LANG,13,False
40,40,40,Lang Bug 17 - Strong Oracle,12,12,3,3,0,0,0,0,0,0,2,2,0,29,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest.testOutOfBounds,LANG,17,False
42,42,42,Lang Bug 17 - Strong Oracle,34,112,6,25,0,0,0,0,0,0,4,10,0,2,org.apache.commons.lang3.StringEscapeUtilsTest.testEscapeHtmlVersions,LANG,17,False
44,44,44,Lang Bug 10 - Strong Oracle,130,260,14,29,0,0,0,0,0,0,17,27,0,12,org.apache.commons.lang3.time.FastDateFormatTest.testCheckDifferingStyles,LANG,10,False
45,45,45,Lang Bug 60 - Strong Oracle,31,421,5,111,0,0,0,0,0,0,2,2,0,5,org.apache.commons.lang.text.StrBuilderTest.testIndexOf_String,LANG,60,False
46,46,46,Lang Bug 62 - Strong Oracle,139,14549112,18,2097171,0,0,1,65536,0,0,21,2097169,0,1,org.apache.commons.lang.StringEscapeUtilsTest.testUnescapeHexCharsHtml,LANG,62,False
48,48,48,Lang Bug 17 - Strong Oracle,13,13,3,3,0,0,0,0,0,0,2,2,0,29,org.apache.commons.lang3.StringEscapeUtilsTest.testEscapeJavaWithSlash,LANG,17,False
51,51,51,Lang Bug 17 - Strong Oracle,72,182,10,35,0,0,1,1,0,0,12,22,0,5,org.apache.commons.lang3.StringEscapeUtilsTest.testEscapeCsvString,LANG,17,False
53,53,53,Lang Bug 60 - Strong Oracle,17,395,3,106,0,0,0,0,0,0,1,1,0,9,org.apache.commons.lang.text.StrBuilderTest.testIndexOf_char_int,LANG,60,False
54,54,54,Lang Bug 1 - Strong Oracle,796,10605,131,1946,0,0,0,0,0,0,98,840,0,1,org.apache.commons.lang3.math.NumberUtilsTest.testIsNumber,LANG,1,False
56,56,56,Lang Bug 10 - Strong Oracle,1091,71441,93,7762,1,11,1,30,0,0,163,10479,0,67,org.apache.commons.lang3.time.FastDateFormat_ParserTest.testLocales_ShortNoEra_AD,LANG,10,False
58,58,58,Lang Bug 17 - Strong Oracle,9,9,3,3,0,0,0,0,0,0,1,1,0,252,org.apache.commons.lang3.StringEscapeUtilsTest.testEscapeHtml,LANG,17,False
61,61,61,Lang Bug 59 - Strong Oracle,114,442,11,43,0,0,0,0,0,0,10,25,0,2,org.apache.commons.lang.text.StrBuilderAppendInsertTest.testAppendFixedWidthPadRight,LANG,59,False
62,62,62,Lang Bug 10 - Strong Oracle,345,1009,24,75,1,1,0,0,0,0,64,170,0,46651,org.apache.commons.lang3.time.FastDateFormat_ParserTest.testLocales_Long_BC,LANG,10,False
