,VERSION,TESTNAME
0,7,org.apache.commons.lang3.math.NumberUtilsTest.testCreateNumber
1,11,org.apache.commons.lang3.RandomStringUtilsTest.testLANG807
2,1,org.apache.commons.lang3.math.NumberUtilsTest.TestLang747
3,65,org.apache.commons.lang.time.DateUtilsTest.testTruncateLang59
4,37,org.apache.commons.lang3.ArrayUtilsAddTest.testJira567
5,51,org.apache.commons.lang.BooleanUtilsTest.test_toBoolean_String
6,62,org.apache.commons.lang.EntitiesTest.testNumberOverflow
7,43,org.apache.commons.lang.text.ExtendedMessageFormatTest.testEscapedQuote_LANG_477
8,18,org.apache.commons.lang3.time.FastDateFormatTest.testFormat
9,29,org.apache.commons.lang3.SystemUtilsTest.testJavaVersionAsInt
10,32,org.apache.commons.lang3.builder.HashCodeBuilderTest.testReflectionObjectCycle
11,20,org.apache.commons.lang3.StringUtilsTest.testJoin_ArrayChar
12,20,org.apache.commons.lang3.StringUtilsTest.testJoin_Objectarray
13,12,org.apache.commons.lang3.RandomStringUtilsTest.testExceptions
14,12,org.apache.commons.lang3.RandomStringUtilsTest.testLANG805
15,26,org.apache.commons.lang3.time.FastDateFormatTest.testLang645
16,39,org.apache.commons.lang3.StringUtilsTest.testReplace_StringStringArrayStringArray
17,36,org.apache.commons.lang3.math.NumberUtilsTest.testCreateNumber
18,36,org.apache.commons.lang3.math.NumberUtilsTest.testIsNumber
19,60,org.apache.commons.lang.text.StrBuilderTest.testLang295
20,16,org.apache.commons.lang3.math.NumberUtilsTest.testCreateNumber
21,45,org.apache.commons.lang.WordUtilsTest.testAbbreviate
22,28,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest.testSupplementaryUnescaping
23,31,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContainsAnyCharArrayWithSupplementaryChars
24,31,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testContainsAnyStringWithSupplementaryChars
25,14,org.apache.commons.lang3.StringUtilsEqualsIndexOfTest.testEquals
26,38,org.apache.commons.lang3.time.FastDateFormatTest.testLang538
27,5,org.apache.commons.lang3.LocaleUtilsTest.testLang865
28,50,org.apache.commons.lang.time.FastDateFormatTest.test_changeDefault_Locale_DateInstance
29,50,org.apache.commons.lang.time.FastDateFormatTest.test_changeDefault_Locale_DateTimeInstance
30,10,org.apache.commons.lang3.time.FastDateFormat_ParserTest.testLANG_831
31,10,org.apache.commons.lang3.time.FastDateParserTest.testLANG_831
32,56,org.apache.commons.lang.time.FastDateFormatTest.testLang303
33,6,org.apache.commons.lang3.StringUtilsTest.testEscapeSurrogatePairs
34,13,org.apache.commons.lang3.SerializationUtilsTest.testPrimitiveTypeClassSerialization
35,19,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest.testUnfinishedEntity
36,19,org.apache.commons.lang3.text.translate.NumericEntityUnescaperTest.testOutOfBounds
