,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION
0,0,Lang Bug 48 - Weak Oracle,459,4243,84,734,0,0,0,0,0,0,62,640,0,2,org.apache.commons.lang.builder.CompareToBuilderTest.testReflectionHierarchyCompare,LANG,48
1,1,Lang Bug 36 - Weak Oracle,62,62,8,8,0,0,0,0,0,0,14,14,0,21,org.apache.commons.lang3.math.NumberUtilsTest.testCreateNumber,LANG,36
2,2,Lang Bug 41 - Weak Oracle,205,214,19,20,0,0,0,0,0,0,35,35,0,4,org.apache.commons.lang.builder.ShortPrefixToStringStyleTest.testObjectArray,LANG,41
3,3,Lang Bug 38 - Weak Oracle,9,9,1,1,0,0,0,0,0,0,2,2,0,2,org.apache.commons.lang3.time.DateFormatUtilsTest.testTimeISO,LANG,38
4,4,Lang Bug 62 - Weak Oracle,36,36,8,8,0,0,0,0,0,0,5,5,0,1,org.apache.commons.lang.EntitiesTest.testNumberOverflow,LANG,62
5,5,Lang Bug 41 - Weak Oracle,45,47,5,6,0,0,0,0,0,0,7,7,0,2,org.apache.commons.lang.ClassUtilsTest.test_getShortClassName_String,LANG,41
6,6,Lang Bug 34 - Weak Oracle,273,366,43,60,0,0,0,0,0,0,45,59,0,20,org.apache.commons.lang3.builder.ToStringBuilderTest.testReflectionStatics,LANG,34
7,7,Lang Bug 7 - Weak Oracle,589,6358,104,1226,0,0,0,0,0,0,75,627,0,1,org.apache.commons.lang3.math.NumberUtilsTest.testIsNumber,LANG,7
8,8,Lang Bug 48 - Weak Oracle,255,4214,38,667,2,12,1,30,0,0,43,771,0,12,org.apache.commons.lang.builder.HashCodeBuilderAndEqualsBuilderTest.testFixtureWithTransients,LANG,48
9,9,Lang Bug 47 - Weak Oracle,60,153,4,17,0,0,0,0,0,0,4,4,0,5,org.apache.commons.lang.text.StrBuilderAppendInsertTest.testAppendFixedWidthPadRight_int,LANG,47
10,10,Lang Bug 17 - Weak Oracle,805,21899,136,3583,0,0,0,0,0,0,133,2817,0,196,org.apache.commons.lang3.reflect.TypeUtilsTest.testIsAssignable,LANG,17
11,11,Lang Bug 50 - Weak Oracle,598,1225,59,141,2,2,0,0,2,2,78,146,0,2,org.apache.commons.lang.time.FastDateFormatTest.testShortDateStyleWithLocales,LANG,50
12,12,Lang Bug 48 - Weak Oracle,28,30,4,4,0,0,0,0,0,0,3,3,0,26,org.apache.commons.lang.StringUtilsTest.testSplitByCharacterType,LANG,48
13,13,Lang Bug 32 - Weak Oracle,64,72,9,9,0,0,0,0,0,0,12,14,0,55,org.apache.commons.lang3.builder.HashCodeBuilderAndEqualsBuilderTest.testIntegerWithTransients,LANG,32
14,14,Lang Bug 42 - Weak Oracle,228,297,24,35,1,2,1,1,0,0,32,35,0,1,org.apache.commons.lang.StringEscapeUtilsTest.testEscapeHtmlVersions,LANG,42
15,15,Lang Bug 65 - Weak Oracle,167,484,21,60,0,0,2,2,1,4,13,28,0,47,org.apache.commons.lang.time.DateUtilsTest.testTruncate,LANG,65
16,16,Lang Bug 47 - Weak Oracle,56,59,4,5,0,0,0,0,0,0,4,4,0,6,org.apache.commons.lang.text.StrBuilderAppendInsertTest.testAppendFixedWidthPadLeft,LANG,47
17,17,Lang Bug 34 - Weak Oracle,393,963,45,111,0,0,0,0,0,0,66,150,0,1,org.apache.commons.lang3.builder.ToStringBuilderTest.testIntArray,LANG,34
18,18,Lang Bug 17 - Weak Oracle,135,445,18,86,0,0,0,0,0,0,21,55,0,1,org.apache.commons.lang3.text.translate.UnicodeUnescaperTest.testUuuuu,LANG,17
19,19,Lang Bug 32 - Weak Oracle,64,72,9,9,0,0,0,0,0,0,12,14,0,54,org.apache.commons.lang3.builder.HashCodeBuilderTest.testReflectionHashCodeExcludeFields,LANG,32
