,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
8,8,Math Bug 6 - Strong Oracle,562,877,46,102,0,0,2,4,1,2,74,88,0,2,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest.testSumSinc,MATH,6,True
15,15,Math Bug 29 - Strong Oracle,74,74,6,6,0,0,0,0,0,0,6,6,0,1,org.apache.commons.math3.linear.SparseRealVectorTest.testEbeDivideMixedTypes,MATH,29,True
20,20,Math Bug 3 - Strong Oracle,87,90,2,3,0,0,7,7,0,0,1,1,0,1,org.apache.commons.math3.util.MathArraysTest.testLinearCombinationWithSingleElementArray,MATH,3,True
26,26,Math Bug 6 - Strong Oracle,1166,1964,87,209,0,0,18,34,0,0,137,190,0,1,org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest.testGetIterations,MATH,6,True
28,28,Math Bug 4 - Strong Oracle,18,18,0,0,0,0,0,0,0,0,4,4,0,1,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest.testIntersectionNotIntersecting,MATH,4,True
34,34,Math Bug 13 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testLargeSample,MATH,13,True
38,38,Math Bug 42 - Strong Oracle,280,386,34,50,0,0,1,2,0,0,30,37,0,1,org.apache.commons.math.optimization.linear.SimplexSolverTest.testMath713NegativeVariable,MATH,42,True
62,62,Math Bug 8 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.distribution.DiscreteRealDistributionTest.testIssue942,MATH,8,True
63,63,Math Bug 37 - Strong Oracle,593,849,27,31,0,0,32,54,4,4,17,20,0,3,org.apache.commons.math.complex.ComplexTest.testTanhInf,MATH,37,True
71,71,Math Bug 85 - Strong Oracle,290,270377,19,30026,0,0,7,10008,3,10003,39,10057,0,1,org.apache.commons.math.distribution.NormalDistributionTest.testMath280,MATH,85,True
72,72,Math Bug 71 - Strong Oracle,220,226,27,29,0,0,0,0,0,0,23,25,0,1,org.apache.commons.math.ode.nonstiff.ClassicalRungeKuttaIntegratorTest.testMissedEndEvent,MATH,71,True
74,74,Math Bug 47 - Strong Oracle,175,250,22,32,0,0,3,3,3,3,23,30,0,2,org.apache.commons.math.complex.ComplexTest.testAtanI,MATH,47,True
75,75,Math Bug 86 - Strong Oracle,836,5940,58,516,0,0,27,278,10,62,51,163,0,1,org.apache.commons.math.linear.CholeskyDecompositionImplTest.testNotPositiveDefinite,MATH,86,True
77,77,Math Bug 1 - Strong Oracle,126,192,4,13,0,0,0,0,0,0,23,30,0,1,org.apache.commons.math3.fraction.BigFractionTest.testDigitLimitConstructor,MATH,1,True
79,79,Math Bug 21 - Strong Oracle,733,20446,62,2635,0,0,8,99,2,8,65,1816,0,1,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest.testFullRank,MATH,21,True
80,80,Math Bug 21 - Strong Oracle,601,19574,57,2571,0,0,3,66,2,2,63,1798,0,4,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest.testFullRank,MATH,21,True
83,83,Math Bug 69 - Strong Oracle,284,350,22,35,0,0,11,12,6,6,12,13,0,1,org.apache.commons.math.stat.correlation.PearsonsCorrelationTest.testPValueNearZero,MATH,69,True
85,85,Math Bug 39 - Strong Oracle,216,679,22,82,0,0,4,12,0,0,16,51,0,1,org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest.testTooLargeFirstStep,MATH,39,True
89,89,Math Bug 22 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.distribution.FDistributionTest.testIsSupportLowerBoundInclusive,MATH,22,True
92,92,Math Bug 90 - Strong Oracle,17,17,1,1,0,0,0,0,0,0,3,3,0,1,org.apache.commons.math.stat.FrequencyTest.testAddNonComparable,MATH,90,True
96,96,Math Bug 66 - Strong Oracle,30,30,1,1,0,0,0,0,0,0,2,2,0,1,org.apache.commons.math.optimization.univariate.BrentOptimizerTest.testSinMin,MATH,66,True
97,97,Math Bug 66 - Strong Oracle,296,2194,30,213,0,0,15,131,1,6,14,106,0,1,org.apache.commons.math.optimization.univariate.BrentOptimizerTest.testSinMin,MATH,66,True
98,98,Math Bug 66 - Strong Oracle,106,106,12,12,0,0,4,4,0,0,6,6,0,11,org.apache.commons.math.optimization.univariate.BrentOptimizerTest.testSinMin,MATH,66,True
100,100,Math Bug 62 - Strong Oracle,7,7,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizerTest.testQuinticMin,MATH,62,True
101,101,Math Bug 65 - Strong Oracle,803,74961,82,8420,0,0,8,3179,3,6,47,697,0,1,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest.testCircleFitting,MATH,65,True
105,105,Math Bug 6 - Strong Oracle,727,1311,66,177,0,0,0,0,0,0,102,142,0,1,org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest.testGetIterations,MATH,6,True
106,106,Math Bug 2 - Strong Oracle,140,143,11,11,0,0,7,7,3,3,15,16,0,1,org.apache.commons.math3.distribution.HypergeometricDistributionTest.testMath1021,MATH,2,True
110,110,Math Bug 14 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.fitting.PolynomialFitterTest.testLargeSample,MATH,14,True
115,115,Math Bug 36 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math.fraction.BigFractionTest.testDoubleValueForLargeNumeratorAndDenominator,MATH,36,True
119,119,Math Bug 80 - Strong Oracle,2743,19699,144,1227,0,0,117,983,26,215,65,272,0,2,org.apache.commons.math.linear.EigenDecompositionImplTest.testMathpbx02,MATH,80,True
125,125,Math Bug 37 - Strong Oracle,606,888,30,37,0,0,32,54,4,4,20,26,0,1,org.apache.commons.math.complex.ComplexTest.testTan,MATH,37,True
128,128,Math Bug 28 - Strong Oracle,541,96109,61,12918,0,0,1,280,1,40,77,9564,0,43,org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath828Cycle,MATH,28,True
129,129,Math Bug 28 - Strong Oracle,580,96168,65,12926,0,0,1,280,2,41,85,9576,0,79,org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath828Cycle,MATH,28,True
130,130,Math Bug 61 - Strong Oracle,2899,4971,0,0,0,0,0,0,0,0,266,525,0,1,org.apache.commons.math.distribution.PoissonDistributionTest.testMean,MATH,61,True
132,132,Math Bug 35 - Strong Oracle,6,6,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.genetics.ElitisticListPopulationTest.testChromosomeListConstructorTooHigh,MATH,35,True
133,133,Math Bug 59 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math.util.FastMathTest.testMinMaxFloat,MATH,59,True
142,142,Math Bug 53 - Strong Oracle,52,55,4,4,0,0,0,0,0,0,8,8,0,2,org.apache.commons.math.complex.ComplexTest.testAddNaN,MATH,53,True
147,147,Math Bug 1 - Strong Oracle,126,192,4,13,0,0,0,0,0,0,23,30,0,1,org.apache.commons.math3.fraction.FractionTest.testDigitLimitConstructor,MATH,1,True
148,148,Math Bug 79 - Strong Oracle,23,23,3,3,0,0,0,0,0,0,4,4,0,1,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest.testPerformClusterAnalysisDegenerate,MATH,79,True
150,150,Math Bug 84 - Strong Oracle,294,1217,22,98,0,0,2,11,0,0,30,113,0,2,org.apache.commons.math.optimization.direct.MultiDirectionalTest.testMinimizeMaximize,MATH,84,True
154,154,Math Bug 5 - Strong Oracle,41,58,4,4,0,0,0,0,0,0,8,15,0,1,org.apache.commons.math3.complex.ComplexTest.testReciprocalZero,MATH,5,True
156,156,Math Bug 27 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.fraction.FractionTest.testMath835,MATH,27,True
157,157,Math Bug 69 - Strong Oracle,284,350,22,35,0,0,11,12,6,6,12,13,0,1,org.apache.commons.math.stat.correlation.SpearmansRankCorrelationTest.testPValueNearZero,MATH,69,True
163,163,Math Bug 36 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math.fraction.BigFractionTest.testFloatValueForLargeNumeratorAndDenominator,MATH,36,True
164,164,Math Bug 24 - Strong Oracle,474,942,14,30,0,0,26,52,0,0,15,28,0,1,org.apache.commons.math3.optimization.univariate.BrentOptimizerTest.testMath855,MATH,24,True
177,177,Math Bug 17 - Strong Oracle,653,2597,66,307,5,19,8,53,4,17,43,93,0,1,org.apache.commons.math3.dfp.DfpTest.testMultiply,MATH,17,True
178,178,Math Bug 66 - Strong Oracle,330,6226,27,860,0,0,2,4,4,7,23,42,0,200,org.apache.commons.math.optimization.univariate.BrentOptimizerTest.testQuinticMinStatistics,MATH,66,True
179,179,Math Bug 66 - Strong Oracle,633,8901,64,1126,0,0,17,167,5,18,35,172,0,200,org.apache.commons.math.optimization.univariate.BrentOptimizerTest.testQuinticMinStatistics,MATH,66,True
180,180,Math Bug 66 - Strong Oracle,406,6302,38,871,0,0,6,8,4,7,27,46,0,3434,org.apache.commons.math.optimization.univariate.BrentOptimizerTest.testQuinticMinStatistics,MATH,66,True
181,181,Math Bug 4 - Strong Oracle,19,19,0,0,0,0,0,0,0,0,4,4,0,1,org.apache.commons.math3.geometry.euclidean.twod.SubLineTest.testIntersectionParallel,MATH,4,True
192,192,Math Bug 75 - Strong Oracle,120,299,10,38,0,0,0,0,1,1,27,73,0,1,org.apache.commons.math.stat.FrequencyTest.testPcts,MATH,75,True
194,194,Math Bug 6 - Strong Oracle,1308,7117,82,368,0,0,28,296,7,76,120,366,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest.testMinimize2,MATH,6,True
195,195,Math Bug 6 - Strong Oracle,812,4455,32,180,0,0,28,200,7,50,69,237,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest.testMinimize2,MATH,6,True
199,199,Math Bug 10 - Strong Oracle,10,10,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest.testAtan2SpecialCases,MATH,10,True
201,201,Math Bug 35 - Strong Oracle,6,6,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.genetics.ElitisticListPopulationTest.testConstructorTooLow,MATH,35,True
212,212,Math Bug 63 - Strong Oracle,20,20,6,6,0,0,0,0,0,0,3,3,0,1,org.apache.commons.math.util.MathUtilsTest.testArrayEquals,MATH,63,True
213,213,Math Bug 44 - Strong Oracle,1262,44810,46,1618,0,0,88,4220,3,133,39,966,0,1,org.apache.commons.math.ode.events.EventStateTest.testIssue695,MATH,44,True
214,214,Math Bug 44 - Strong Oracle,2477,49697,112,1976,0,0,159,4424,9,139,74,1122,0,1,org.apache.commons.math.ode.events.EventStateTest.testIssue695,MATH,44,True
224,224,Math Bug 55 - Strong Oracle,60,60,0,0,0,0,6,6,0,0,3,3,0,1,org.apache.commons.math.geometry.Vector3DTest.testCrossProductCancellation,MATH,55,True
228,228,Math Bug 35 - Strong Oracle,6,6,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.genetics.ElitisticListPopulationTest.testConstructorTooHigh,MATH,35,True
237,237,Math Bug 35 - Strong Oracle,6,6,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.genetics.ElitisticListPopulationTest.testChromosomeListConstructorTooLow,MATH,35,True
239,239,Math Bug 11 - Strong Oracle,841,1229,50,66,0,0,42,76,4,5,25,27,0,1,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest.testUnivariateDistribution,MATH,11,True
258,258,Math Bug 6 - Strong Oracle,1294,9727,80,411,0,0,28,488,7,130,120,362,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest.testMaximize2,MATH,6,True
259,259,Math Bug 6 - Strong Oracle,800,7009,31,224,0,0,28,392,7,104,69,221,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest.testMaximize2,MATH,6,True
267,267,Math Bug 26 - Strong Oracle,30,30,4,4,0,0,0,0,0,0,2,2,0,1,org.apache.commons.math3.fraction.FractionTest.testIntegerOverflow,MATH,26,True
271,271,Math Bug 20 - Strong Oracle,197,231,20,24,0,0,2,2,0,0,27,27,0,5,org.apache.commons.math3.optimization.direct.CMAESOptimizerTest.testMath864,MATH,20,True
285,285,Math Bug 25 - Strong Oracle,491,11815,17,337,0,0,30,871,5,34,17,279,0,1,org.apache.commons.math3.optimization.fitting.HarmonicFitterTest.testMath844,MATH,25,True
286,286,Math Bug 86 - Strong Oracle,6,6,1,1,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math.linear.CholeskyDecompositionImplTest.testMath274,MATH,86,True
289,289,Math Bug 99 - Strong Oracle,8,8,0,0,0,0,0,0,0,0,3,3,0,1,org.apache.commons.math.util.MathUtilsTest.testGcd,MATH,99,True
290,290,Math Bug 47 - Strong Oracle,57,74,6,6,0,0,0,0,0,0,10,17,0,1,org.apache.commons.math.complex.ComplexTest.testDivideZero,MATH,47,True
306,306,Math Bug 6 - Strong Oracle,1308,9829,82,427,0,0,28,488,7,125,120,362,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest.testMinimize1,MATH,6,True
307,307,Math Bug 6 - Strong Oracle,812,7087,32,234,0,0,28,392,7,100,69,221,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest.testMinimize1,MATH,6,True
321,321,Math Bug 9 - Strong Oracle,25,43,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.geometry.euclidean.threed.LineTest.testRevert,MATH,9,True
328,328,Math Bug 6 - Strong Oracle,1306,7174,80,354,0,0,28,296,7,77,120,366,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest.testMaximize1,MATH,6,True
329,329,Math Bug 6 - Strong Oracle,811,4497,31,168,0,0,28,200,7,52,69,237,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerMultiDirectionalTest.testMaximize1,MATH,6,True
332,332,Math Bug 6 - Strong Oracle,1392,6499,92,337,0,0,30,294,8,78,121,260,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest.testMinimize1,MATH,6,True
333,333,Math Bug 6 - Strong Oracle,848,3749,39,144,0,0,30,198,8,53,63,119,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.SimplexOptimizerNelderMeadTest.testMinimize1,MATH,6,True
338,338,Math Bug 66 - Strong Oracle,159,491,16,85,0,0,0,0,0,0,9,18,0,10,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest.testSinMin,MATH,66,True
339,339,Math Bug 66 - Strong Oracle,479,6474,57,712,0,0,15,357,1,9,21,288,0,10,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest.testSinMin,MATH,66,True
340,340,Math Bug 66 - Strong Oracle,235,567,27,96,0,0,4,4,0,0,13,22,0,241,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest.testSinMin,MATH,66,True
342,342,Math Bug 34 - Strong Oracle,6,6,0,0,0,0,0,0,0,0,2,2,0,1,org.apache.commons.math3.genetics.ListPopulationTest.testIterator,MATH,34,True
345,345,Math Bug 45 - Strong Oracle,827,827,9,9,0,0,0,0,1,1,8,8,0,1,org.apache.commons.math.linear.OpenMapRealMatrixTest.testMath679,MATH,45,True
353,353,Math Bug 84 - Strong Oracle,109,127,4,5,0,0,0,0,0,0,21,25,0,77,org.apache.commons.math.optimization.direct.MultiDirectionalTest.testMath283,MATH,84,True
359,359,Math Bug 82 - Strong Oracle,461,8991,52,972,0,0,2,59,2,13,68,919,0,11,org.apache.commons.math.optimization.linear.SimplexSolverTest.testMath288,MATH,82,True
362,362,Math Bug 22 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.distribution.UniformRealDistributionTest.testIsSupportUpperBoundInclusive,MATH,22,True
364,364,Math Bug 88 - Strong Oracle,71,122,3,8,0,0,1,3,0,0,8,10,0,1,org.apache.commons.math.optimization.linear.SimplexSolverTest.testMath272,MATH,88,True
366,366,Math Bug 99 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math.util.MathUtilsTest.testLcm,MATH,99,True
373,373,Math Bug 52 - Strong Oracle,341,359,1,1,0,0,34,34,2,2,17,17,0,1,org.apache.commons.math.geometry.euclidean.threed.RotationTest.testIssue639,MATH,52,True
