,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION
0,Math Bug 83 - Strong Oracle,79,114,8,12,0,0,0,0,0,0,12,16,0,2,org.apache.commons.math.optimization.linear.SimplexSolverTest.testSolutionWithNegativeDecisionVariable,MATH,83
1,Math Bug 81 - Strong Oracle,219,235,10,13,0,0,8,8,1,1,18,19,0,1,org.apache.commons.math.linear.EigenDecompositionImplTest.testDimension2,MATH,81
2,Math Bug 6 - Strong Oracle,2103,18110,132,1611,0,0,29,539,6,66,247,1601,0,1,org.apache.commons.math3.fitting.GaussianFitterTest.testFit04,MATH,6
3,Math Bug 10 - Strong Oracle,737,59530157,38,3620013,0,0,45,5080000,10,290000,12,650001,0,5,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest.testTaylorAtan2,MATH,10
4,Math Bug 81 - Strong Oracle,118,121,6,7,0,0,2,2,0,0,14,15,0,1,org.apache.commons.math.linear.EigenDecompositionImplTest.testDimension1,MATH,81
5,Math Bug 49 - Strong Oracle,1274,32876,96,3151,0,0,7,87,5,18,204,2942,0,2,org.apache.commons.math.linear.SparseRealVectorTest.testBasicFunctions,MATH,49
6,Math Bug 49 - Strong Oracle,1323,37772,99,3646,0,0,8,90,5,21,220,3351,0,2,org.apache.commons.math.linear.SparseRealVectorTest.testBasicFunctions,MATH,49
7,Math Bug 74 - Strong Oracle,2712,5738444,156,251197,0,0,139,447673,15,5119,144,26250,0,1,org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolatorTest.checklone,MATH,74
8,Math Bug 6 - Strong Oracle,562,877,46,102,0,0,2,4,1,2,74,88,0,2,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest.testSumSinc,MATH,6
9,Math Bug 74 - Strong Oracle,2527,4189042,145,217735,0,0,139,305531,15,3546,132,19958,0,1,org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest.testKepler,MATH,74
10,Math Bug 6 - Strong Oracle,1977,657205888,200,85652356,0,0,3,2832625,2,30287,308,62092955,0,1,org.apache.commons.math3.optim.linear.SimplexSolverTest.testLargeModel,MATH,6
11,Math Bug 6 - Strong Oracle,1016,2998,81,373,0,0,2,22,0,0,137,300,0,1,org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest.testMinpackKowalikOsborne,MATH,6
12,Math Bug 6 - Strong Oracle,1526,95181,154,12400,0,0,3,283,3,65,239,9565,0,1,org.apache.commons.math3.optim.linear.SimplexSolverTest.testMath288,MATH,6
13,Math Bug 69 - Strong Oracle,531,1652,42,199,0,0,13,39,8,8,28,61,0,1,org.apache.commons.math.stat.correlation.SpearmansRankCorrelationTest.testSwissFertility,MATH,69
14,Math Bug 64 - Strong Oracle,888,2377,74,230,0,0,33,92,8,14,28,40,0,2,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest.testOneSet,MATH,64
15,Math Bug 29 - Strong Oracle,74,74,6,6,0,0,0,0,0,0,6,6,0,1,org.apache.commons.math3.linear.SparseRealVectorTest.testEbeDivideMixedTypes,MATH,29
16,Math Bug 64 - Strong Oracle,225,648,22,66,0,0,7,26,2,4,10,14,0,4,org.apache.commons.math.optimization.fitting.CurveFitterTest.testMath303,MATH,64
17,Math Bug 64 - Strong Oracle,12,12,0,0,0,0,0,0,0,0,2,2,0,2,org.apache.commons.math.optimization.fitting.CurveFitterTest.testMath303,MATH,64
18,Math Bug 6 - Strong Oracle,920,2035,72,259,0,0,12,34,4,4,86,100,0,1,org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest.testNonInversible,MATH,6
19,Math Bug 6 - Strong Oracle,6409,1518375073,500,171892239,0,0,263,21724510,42,283626,688,139484878,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest.testRosen,MATH,6
20,Math Bug 3 - Strong Oracle,87,90,2,3,0,0,7,7,0,0,1,1,0,1,org.apache.commons.math3.util.MathArraysTest.testLinearCombinationWithSingleElementArray,MATH,3
21,Math Bug 83 - Strong Oracle,79,114,8,12,0,0,0,0,0,0,12,16,0,1,org.apache.commons.math.optimization.linear.SimplexSolverTest.testEpsilon,MATH,83
22,Math Bug 6 - Strong Oracle,527,770,43,103,0,0,0,0,0,0,64,67,0,1,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.BOBYQAOptimizerTest.testProblemDimensionTooSmall,MATH,6
23,Math Bug 74 - Strong Oracle,537,2263,32,187,0,0,25,107,9,13,35,49,0,1,org.apache.commons.math.ode.nonstiff.DormandPrince54IntegratorTest.testMinStep,MATH,74
24,Math Bug 24 - Strong Oracle,195,269,17,27,0,0,3,4,0,0,17,22,0,8,org.apache.commons.math3.optimization.direct.PowellOptimizerTest.testRelativeToleranceOnScaledValues,MATH,24
25,Math Bug 69 - Strong Oracle,531,1652,42,199,0,0,13,39,8,8,28,61,0,1,org.apache.commons.math.stat.correlation.PearsonsCorrelationTest.testSwissFertility,MATH,69
26,Math Bug 6 - Strong Oracle,1166,1964,87,209,0,0,18,34,0,0,137,190,0,1,org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest.testGetIterations,MATH,6
27,Math Bug 74 - Strong Oracle,3481,308566,204,23621,0,0,151,11356,22,1931,213,6132,0,10,org.apache.commons.math.ode.nonstiff.AdamsMoultonIntegratorTest.testIncreasingTolerance,MATH,74
28,Math Bug 4 - Strong Oracle,18,18,0,0,0,0,0,0,0,0,4,4,0,1,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest.testIntersectionNotIntersecting,MATH,4
29,Math Bug 83 - Strong Oracle,79,114,8,12,0,0,0,0,0,0,12,16,0,1,org.apache.commons.math.optimization.linear.SimplexSolverTest.testSimplexSolver,MATH,83
30,Math Bug 74 - Strong Oracle,2614,718494,152,30477,0,0,144,59088,17,1305,138,6864,0,1,org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest.testEvents,MATH,74
31,Math Bug 6 - Strong Oracle,727,13081,66,1894,0,0,0,0,0,0,102,1604,0,1,org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest.testCircleFittingGoodInit,MATH,6
32,Math Bug 28 - Strong Oracle,773,97825,92,13006,0,0,2,279,3,62,116,9782,0,1,org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath288,MATH,28
33,Math Bug 83 - Strong Oracle,79,114,8,12,0,0,0,0,0,0,12,16,0,1,org.apache.commons.math.optimization.linear.SimplexSolverTest.testModelWithNoArtificialVars,MATH,83
34,Math Bug 13 - Strong Oracle,4,4,0,0,0,0,0,0,0,0,1,1,0,1,org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testLargeSample,MATH,13
35,Math Bug 39 - Strong Oracle,2068,64923,98,2587,0,0,132,5244,6,50,87,468,0,1,org.apache.commons.math.ode.events.ReappearingEventTest.testDormandPrince,MATH,39
36,Math Bug 64 - Strong Oracle,225,365,22,40,0,0,7,13,2,2,10,10,0,4,org.apache.commons.math.optimization.fitting.CurveFitterTest.testMath304,MATH,64
37,Math Bug 64 - Strong Oracle,12,12,0,0,0,0,0,0,0,0,2,2,0,2,org.apache.commons.math.optimization.fitting.CurveFitterTest.testMath304,MATH,64
38,Math Bug 42 - Strong Oracle,280,386,34,50,0,0,1,2,0,0,30,37,0,1,org.apache.commons.math.optimization.linear.SimplexSolverTest.testMath713NegativeVariable,MATH,42
39,Math Bug 6 - Strong Oracle,1004,13460,89,1823,0,0,1,9,0,0,133,1399,0,2,org.apache.commons.math3.optim.nonlinear.vector.MultiStartMultivariateVectorOptimizerTest.testNoOptimum,MATH,6
40,Math Bug 6 - Strong Oracle,1637,20519,100,947,0,0,38,1203,1,20,168,777,0,1,org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest.testMinpackBrownDennis,MATH,6
41,Math Bug 6 - Strong Oracle,2013,416355,198,54497,0,0,3,1154,2,212,321,41058,0,1,org.apache.commons.math3.optim.linear.SimplexSolverTest.testMath293,MATH,6
42,Math Bug 81 - Strong Oracle,184,424,9,29,0,0,4,8,0,0,19,42,0,1,org.apache.commons.math.linear.EigenDecompositionImplTest.testDiagonal,MATH,81
43,Math Bug 16 - Strong Oracle,2517,93415,108,6874,1,22,140,3929,26,572,86,6634,0,12,org.apache.commons.math3.linear.RealVectorTest.testMap,MATH,16
44,Math Bug 6 - Strong Oracle,2027,8272,132,735,0,0,29,217,6,29,234,762,0,1,org.apache.commons.math3.fitting.GaussianFitterTest.testFit07,MATH,6
45,Math Bug 6 - Strong Oracle,727,1847,66,254,0,0,0,0,0,0,102,210,0,1,org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest.testCircleFitting,MATH,6
