,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
0,0,Math Bug 28 - Strong Oracle,541,96109,61,12918,0,0,1,280,1,40,77,9564,0,43,org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath828Cycle,MATH,28,True
1,1,Math Bug 28 - Strong Oracle,580,96168,65,12926,0,0,1,280,2,41,85,9576,0,79,org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath828Cycle,MATH,28,True
2,2,Math Bug 6 - Strong Oracle,1266,9259,88,987,0,0,3,90,0,0,177,986,0,1,org.apache.commons.math3.fitting.PolynomialFitterTest.testMath798,MATH,6,False
3,3,Math Bug 74 - Strong Oracle,642,5636,33,476,0,0,38,274,10,15,36,62,0,1,org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest.testMinStep,MATH,74,False
4,4,Math Bug 85 - Strong Oracle,290,270377,19,30026,0,0,7,10008,3,10003,39,10057,0,1,org.apache.commons.math.distribution.NormalDistributionTest.testMath280,MATH,85,True
5,5,Math Bug 12 - Strong Oracle,1327,929964,85,123890,5,3120,59,21065,12,40299,71,20545,0,9,org.apache.commons.math3.distribution.PoissonDistributionTest.testLargeMeanCumulativeProbability,MATH,12,False
6,6,Math Bug 74 - Strong Oracle,649,5948,33,489,0,0,38,274,10,15,37,88,0,1,org.apache.commons.math.ode.nonstiff.AdamsBashforthIntegratorTest.testMinStep,MATH,74,False
7,7,Math Bug 71 - Strong Oracle,2254,2259226,164,176000,0,0,80,115264,18,3529,180,44023,0,1,org.apache.commons.math.ode.ContinuousOutputModelTest.testBoundaries,MATH,71,False
8,8,Math Bug 74 - Strong Oracle,1896,1679233,146,132661,0,0,62,90435,14,2722,142,26551,0,1,org.apache.commons.math.ode.sampling.StepNormalizerTest.testBoundaries,MATH,74,False
9,9,Math Bug 82 - Strong Oracle,654,7116,71,716,0,0,2,38,2,12,90,669,0,2,org.apache.commons.math.optimization.linear.SimplexSolverTest.testSimplexSolver,MATH,82,False
