,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
8,8,Math Bug 32 - Weak Oracle,8,8,0,0,0,0,0,0,0,0,2,2,0,1,org.apache.commons.math3.geometry.euclidean.threed.PolyhedronsSetTest.testIssue780,MATH,32,True
20,20,Math Bug 6 - Weak Oracle,565,880,46,102,0,0,2,4,1,2,75,89,0,2,org.apache.commons.math3.optim.nonlinear.scalar.noderiv.PowellOptimizerTest.testSumSinc,MATH,6,True
48,48,Math Bug 29 - Weak Oracle,274,10820,30,1177,0,0,0,0,0,0,38,1111,0,1,org.apache.commons.math3.linear.SparseRealVectorTest.testEbeDivideMixedTypes,MATH,29,True
73,73,Math Bug 3 - Weak Oracle,93,96,3,4,0,0,7,7,0,0,2,2,0,1,org.apache.commons.math3.util.MathArraysTest.testLinearCombinationWithSingleElementArray,MATH,3,True
89,89,Math Bug 6 - Weak Oracle,1169,1967,87,209,0,0,18,34,0,0,138,191,0,1,org.apache.commons.math3.optim.nonlinear.vector.jacobian.LevenbergMarquardtOptimizerTest.testGetIterations,MATH,6,True
97,97,Math Bug 4 - Weak Oracle,23,23,1,1,0,0,0,0,0,0,5,5,0,1,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest.testIntersectionNotIntersecting,MATH,4,True
118,118,Math Bug 13 - Weak Oracle,194,-936960615,23,-1770283762,0,0,4,799980003,0,0,32,-1980249162,0,1,org.apache.commons.math3.optimization.fitting.PolynomialFitterTest.testLargeSample,MATH,13,True
126,126,Math Bug 42 - Weak Oracle,288,394,36,52,0,0,1,2,0,0,32,39,0,2,org.apache.commons.math.optimization.linear.SimplexSolverTest.testMath713NegativeVariable,MATH,42,True
190,190,Math Bug 8 - Weak Oracle,227,392,4,6,0,0,1,1,0,0,10,10,0,1,org.apache.commons.math3.distribution.DiscreteRealDistributionTest.testIssue942,MATH,8,True
200,200,Math Bug 60 - Weak Oracle,3405,5685,34,40,0,0,12,16,7,11,309,588,0,201,org.apache.commons.math.distribution.NormalDistributionTest.testExtremeValues,MATH,60,True
201,201,Math Bug 37 - Weak Oracle,605,861,29,33,0,0,32,54,4,4,19,22,0,3,org.apache.commons.math.complex.ComplexTest.testTanhInf,MATH,37,True
226,226,Math Bug 85 - Weak Oracle,299,270386,20,30027,0,0,8,10009,3,10003,40,10058,0,1,org.apache.commons.math.distribution.NormalDistributionTest.testMath280,MATH,85,True
228,228,Math Bug 71 - Weak Oracle,223,229,27,29,0,0,0,0,0,0,24,26,0,1,org.apache.commons.math.ode.nonstiff.ClassicalRungeKuttaIntegratorTest.testMissedEndEvent,MATH,71,True
234,234,Math Bug 47 - Weak Oracle,145,163,18,20,0,0,3,3,3,3,17,17,0,42,org.apache.commons.math.complex.ComplexTest.testAtanI,MATH,47,True
236,236,Math Bug 86 - Weak Oracle,842,5946,59,517,0,0,27,278,10,62,52,164,0,1,org.apache.commons.math.linear.CholeskyDecompositionImplTest.testNotPositiveDefinite,MATH,86,True
240,240,Math Bug 1 - Weak Oracle,153,219,6,15,0,0,0,0,0,0,25,32,0,1,org.apache.commons.math3.fraction.BigFractionTest.testDigitLimitConstructor,MATH,1,True
245,245,Math Bug 21 - Weak Oracle,622,19595,58,2572,0,0,6,69,2,2,64,1799,0,6,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest.testFullRank,MATH,21,True
246,246,Math Bug 21 - Weak Oracle,563,19525,53,2563,0,0,2,65,2,2,62,1797,0,4,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest.testFullRank,MATH,21,True
255,255,Math Bug 69 - Weak Oracle,289,355,23,36,0,0,11,12,6,6,13,14,0,1,org.apache.commons.math.stat.correlation.PearsonsCorrelationTest.testPValueNearZero,MATH,69,True
258,258,Math Bug 39 - Weak Oracle,229,692,24,84,0,0,4,12,0,0,17,52,0,1,org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest.testTooLargeFirstStep,MATH,39,True
273,273,Math Bug 31 - Weak Oracle,273,47477,16,4014,1,382,15,3820,7,1909,27,2698,0,2,org.apache.commons.math3.distribution.FDistributionTest.testMath785,MATH,31,True
288,288,Math Bug 22 - Weak Oracle,7,7,0,0,0,0,0,0,0,0,2,2,0,1,org.apache.commons.math3.distribution.FDistributionTest.testIsSupportLowerBoundInclusive,MATH,22,True
299,299,Math Bug 90 - Weak Oracle,23,23,1,1,0,0,0,0,0,0,4,4,0,1,org.apache.commons.math.stat.FrequencyTest.testAddNonComparable,MATH,90,True
307,307,Math Bug 12 - Weak Oracle,905,1711,26,30,0,0,41,69,1,1,30,37,0,4,org.apache.commons.math3.distribution.NormalDistributionTest.testDistributionClone,MATH,12,True
316,316,Math Bug 66 - Weak Oracle,39,39,3,3,0,0,0,0,0,0,3,3,0,1,org.apache.commons.math.optimization.univariate.BrentOptimizerTest.testSinMin,MATH,66,True
317,317,Math Bug 66 - Weak Oracle,115,115,14,14,0,0,4,4,0,0,7,7,0,11,org.apache.commons.math.optimization.univariate.BrentOptimizerTest.testSinMin,MATH,66,True
318,318,Math Bug 66 - Weak Oracle,305,2203,32,215,0,0,15,131,1,6,15,107,0,1,org.apache.commons.math.optimization.univariate.BrentOptimizerTest.testSinMin,MATH,66,True
321,321,Math Bug 62 - Weak Oracle,19,22,1,1,0,0,0,0,0,0,4,4,0,1,org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizerTest.testQuinticMin,MATH,62,True
346,346,Math Bug 6 - Weak Oracle,730,1314,66,177,0,0,0,0,0,0,103,143,0,1,org.apache.commons.math3.optim.nonlinear.vector.jacobian.GaussNewtonOptimizerTest.testGetIterations,MATH,6,True
354,354,Math Bug 2 - Weak Oracle,147,150,12,12,0,0,7,7,3,3,17,18,0,1,org.apache.commons.math3.distribution.HypergeometricDistributionTest.testMath1021,MATH,2,True
368,368,Math Bug 14 - Weak Oracle,149,4803899,9,582373,0,0,5,290999,4,4,10,145601,0,1,org.apache.commons.math3.fitting.PolynomialFitterTest.testLargeSample,MATH,14,True
379,379,Math Bug 36 - Weak Oracle,10,10,1,1,0,0,0,0,0,0,3,3,0,1,org.apache.commons.math.fraction.BigFractionTest.testDoubleValueForLargeNumeratorAndDenominator,MATH,36,True
391,391,Math Bug 80 - Weak Oracle,2258,17461,124,1071,0,0,99,908,23,211,48,236,0,4,org.apache.commons.math.linear.EigenDecompositionImplTest.testMathpbx02,MATH,80,True
401,401,Math Bug 37 - Weak Oracle,618,900,32,39,0,0,32,54,4,4,22,28,0,2,org.apache.commons.math.complex.ComplexTest.testTan,MATH,37,True
409,409,Math Bug 28 - Weak Oracle,586,96177,66,12927,0,0,1,280,2,41,87,9578,0,84,org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath828Cycle,MATH,28,True
410,410,Math Bug 28 - Weak Oracle,557,96125,62,12919,0,0,1,280,2,41,80,9567,0,79,org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath828Cycle,MATH,28,True
411,411,Math Bug 61 - Weak Oracle,2902,4974,0,0,0,0,0,0,0,0,267,526,0,1,org.apache.commons.math.distribution.PoissonDistributionTest.testMean,MATH,61,True
415,415,Math Bug 35 - Weak Oracle,17,17,2,2,0,0,0,0,0,0,2,2,0,1,org.apache.commons.math3.genetics.ElitisticListPopulationTest.testChromosomeListConstructorTooHigh,MATH,35,True
416,416,Math Bug 59 - Weak Oracle,11,11,1,1,0,0,0,0,0,0,2,2,0,2,org.apache.commons.math.util.FastMathTest.testMinMaxFloat,MATH,59,True
443,443,Math Bug 70 - Weak Oracle,49,49,2,2,0,0,1,1,0,0,7,7,0,1,org.apache.commons.math.analysis.solvers.BisectionSolverTest.testMath369,MATH,70,True
444,444,Math Bug 53 - Weak Oracle,61,64,6,6,0,0,0,0,0,0,9,9,0,2,org.apache.commons.math.complex.ComplexTest.testAddNaN,MATH,53,True
460,460,Math Bug 79 - Weak Oracle,31,31,4,4,0,0,0,0,0,0,5,5,0,1,org.apache.commons.math.stat.clustering.KMeansPlusPlusClustererTest.testPerformClusterAnalysisDegenerate,MATH,79,True
463,463,Math Bug 84 - Weak Oracle,299,1222,23,99,0,0,2,11,0,0,31,114,0,14,org.apache.commons.math.optimization.direct.MultiDirectionalTest.testMinimizeMaximize,MATH,84,True
480,480,Math Bug 5 - Weak Oracle,44,61,4,4,0,0,0,0,0,0,9,16,0,1,org.apache.commons.math3.complex.ComplexTest.testReciprocalZero,MATH,5,True
484,484,Math Bug 27 - Weak Oracle,11,11,1,1,0,0,0,0,0,0,3,3,0,1,org.apache.commons.math3.fraction.FractionTest.testMath835,MATH,27,True
486,486,Math Bug 69 - Weak Oracle,289,355,23,36,0,0,11,12,6,6,13,14,0,1,org.apache.commons.math.stat.correlation.SpearmansRankCorrelationTest.testPValueNearZero,MATH,69,True
503,503,Math Bug 36 - Weak Oracle,11,11,1,1,0,0,0,0,0,0,3,3,0,1,org.apache.commons.math.fraction.BigFractionTest.testFloatValueForLargeNumeratorAndDenominator,MATH,36,True
504,504,Math Bug 24 - Weak Oracle,504,981,19,35,0,0,26,52,0,0,22,35,0,1,org.apache.commons.math3.optimization.univariate.BrentOptimizerTest.testMath855,MATH,24,True
