,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
0,0,Math Bug 31 - Weak Oracle,186,3212,14,275,1,26,16,261,8,130,8,183,0,120,org.apache.commons.math3.distribution.TDistributionTest.testCumulativeProbabilities,MATH,31,False
1,1,Math Bug 33 - Weak Oracle,608,2872,77,405,0,0,1,2,0,0,83,326,0,1,org.apache.commons.math3.optimization.linear.SimplexSolverTest.testTrivialModel,MATH,33,False
2,2,Math Bug 17 - Weak Oracle,2189,75815,223,5968,6,36,26,2749,17,1703,117,315,0,18165,org.apache.commons.math3.util.FastMathTest.testCoshAccuracy,MATH,17,False
3,3,Math Bug 4 - Weak Oracle,164,465,12,37,0,0,2,4,0,0,28,75,0,2,org.apache.commons.math3.geometry.euclidean.twod.SubLineTest.testIntersectionBoundaryBoundary,MATH,4,False
4,4,Math Bug 31 - Weak Oracle,563,2900,33,229,0,0,29,166,8,73,23,148,0,60,org.apache.commons.math3.distribution.ChiSquaredDistributionTest.testCumulativeProbabilities,MATH,31,False
5,5,Math Bug 88 - Weak Oracle,88,246,5,20,0,0,1,6,0,0,11,16,0,1,org.apache.commons.math.optimization.linear.SimplexSolverTest.testSolutionWithNegativeDecisionVariable,MATH,88,False
6,6,Math Bug 12 - Weak Oracle,2415,80877662,121,6602994,6,3124,59,2251079,14,518344,197,4252615,0,1,org.apache.commons.math3.distribution.TriangularDistributionTest.testDensityIntegrals,MATH,12,False
7,7,Math Bug 81 - Weak Oracle,227,243,11,14,0,0,8,8,1,1,19,20,0,1,org.apache.commons.math.linear.EigenDecompositionImplTest.testDimension2,MATH,81,False
9,9,Math Bug 14 - Weak Oracle,3294,14859900,285,1913799,0,0,70,169482,11,2750,253,1355255,0,1,org.apache.commons.math3.fitting.GaussianFitterTest.testFit04,MATH,14,False
10,10,Math Bug 14 - Weak Oracle,3367,14863150,291,1914259,0,0,70,169483,11,2750,263,1355493,0,1,org.apache.commons.math3.fitting.GaussianFitterTest.testFit04,MATH,14,False
11,11,Math Bug 10 - Weak Oracle,752,59530657,39,3620035,0,0,45,5080028,10,290009,14,650011,0,5,org.apache.commons.math3.analysis.differentiation.DerivativeStructureTest.testTaylorAtan2,MATH,10,False
12,12,Math Bug 81 - Weak Oracle,126,129,7,8,0,0,2,2,0,0,15,16,0,1,org.apache.commons.math.linear.EigenDecompositionImplTest.testDimension1,MATH,81,False
13,13,Math Bug 12 - Weak Oracle,318,107160,25,9461,0,0,3,1870,0,0,8,8,0,1,org.apache.commons.math3.util.FastMathTest.testMinMaxDouble,MATH,12,False
14,14,Math Bug 12 - Weak Oracle,1381,67073,68,3230,5,3120,64,1422,7,51,69,326,0,3,org.apache.commons.math3.distribution.MultivariateNormalMixtureModelDistributionTest.testDensities,MATH,12,False
15,15,Math Bug 44 - Weak Oracle,735,1501,56,98,0,0,26,72,7,19,58,86,0,17,org.apache.commons.math.ode.sampling.StepNormalizerOutputOverlapTest.testIncNeither,MATH,44,False
16,16,Math Bug 49 - Weak Oracle,1329,37784,100,3649,0,0,8,90,5,21,222,3353,0,2,org.apache.commons.math.linear.SparseRealVectorTest.testBasicFunctions,MATH,49,False
17,17,Math Bug 49 - Weak Oracle,1280,32888,97,3154,0,0,7,87,5,18,206,2944,0,2,org.apache.commons.math.linear.SparseRealVectorTest.testBasicFunctions,MATH,49,False
18,18,Math Bug 78 - Weak Oracle,1814,23935,94,527,0,0,99,2206,3,25,84,146,0,2,org.apache.commons.math.ode.nonstiff.DormandPrince853StepInterpolatorTest.checklone,MATH,78,False
19,19,Math Bug 12 - Weak Oracle,316,106840,25,9398,0,0,3,1870,0,0,8,8,0,1,org.apache.commons.math3.util.FastMathTest.testAsinSpecialCases,MATH,12,False
21,21,Math Bug 78 - Weak Oracle,1629,13103,83,293,0,0,99,1212,3,14,72,102,0,2,org.apache.commons.math.ode.nonstiff.DormandPrince853IntegratorTest.testKepler,MATH,78,False
22,22,Math Bug 26 - Weak Oracle,284,3388,26,462,0,0,2,50,2,50,29,154,0,1,org.apache.commons.math3.fraction.FractionTest.testGoldenRatio,MATH,26,False
23,23,Math Bug 26 - Weak Oracle,152,208,10,17,0,0,0,0,1,1,24,30,0,25,org.apache.commons.math3.fraction.FractionTest.testGoldenRatio,MATH,26,False
24,24,Math Bug 36 - Weak Oracle,7,7,1,1,0,0,0,0,0,0,2,2,0,2,org.apache.commons.math.fraction.BigFractionTest.testCompareTo,MATH,36,False
25,25,Math Bug 6 - Weak Oracle,1980,657205891,200,85652356,0,0,3,2832625,2,30287,309,62092956,0,1,org.apache.commons.math3.optim.linear.SimplexSolverTest.testLargeModel,MATH,6,False
26,26,Math Bug 14 - Weak Oracle,3781,35631085,335,4444171,0,0,83,581804,23,27687,239,2687265,0,3,org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest.testMinpackKowalikOsborne,MATH,14,False
27,27,Math Bug 14 - Weak Oracle,3845,35632366,341,4444351,0,0,83,581805,23,27687,247,2687361,0,3,org.apache.commons.math3.optim.nonlinear.vector.jacobian.MinpackTest.testMinpackKowalikOsborne,MATH,14,False
28,28,Math Bug 31 - Weak Oracle,1648,11994,96,970,0,0,67,380,20,187,99,350,0,3,org.apache.commons.math3.stat.inference.TestUtilsTest.testChiSquareIndependence,MATH,31,False
29,29,Math Bug 13 - Weak Oracle,3176,42537,261,5376,0,0,40,413,7,34,266,2684,0,1,org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest.testMoreEstimatedParametersSimple,MATH,13,False
30,30,Math Bug 12 - Weak Oracle,1784,61856,112,3143,5,3120,89,922,17,70,78,341,0,4,org.apache.commons.math3.stat.inference.GTestTest.testGTestGoodnesOfFit2,MATH,12,False
31,31,Math Bug 15 - Weak Oracle,731,7743,40,353,0,0,41,520,3,24,13,88,0,189,org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest.testAllMonomials[13],MATH,15,False
32,32,Math Bug 33 - Weak Oracle,1063,13372,114,1811,0,0,2,17,2,8,155,1377,0,1,org.apache.commons.math3.optimization.linear.SimplexSolverTest.testMath434NegativeVariable,MATH,33,False
33,33,Math Bug 15 - Weak Oracle,731,3877,40,178,0,0,41,260,3,12,13,44,0,33,org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest.testAllMonomials[5],MATH,15,False
34,34,Math Bug 17 - Weak Oracle,4042,350679715,352,28803258,3,1320,35,12783533,20,8376464,377,919782,0,18,org.apache.commons.math3.dfp.BracketingNthOrderBrentSolverDFPTest.testNeta,MATH,17,False
35,35,Math Bug 15 - Weak Oracle,731,8705,40,396,0,0,41,585,3,27,13,99,0,248,org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest.testAllMonomials[15],MATH,15,False
36,36,Math Bug 31 - Weak Oracle,5068,17877,96,970,0,0,67,380,20,187,408,964,0,3,org.apache.commons.math3.stat.inference.ChiSquareTestTest.testChiSquareIndependence,MATH,31,False
37,37,Math Bug 12 - Weak Oracle,307,54469,15,2508,5,3120,1,622,1,1,24,28,0,2,org.apache.commons.math3.distribution.TriangularDistributionTest.testGetUpperBound,MATH,12,False
38,38,Math Bug 52 - Weak Oracle,783,3110,25,26,0,0,65,300,0,0,39,69,0,5,org.apache.commons.math.geometry.euclidean.threed.RotationTest.testVectorTwoPairs,MATH,52,False
39,39,Math Bug 52 - Weak Oracle,711,1486,19,20,0,0,63,145,0,0,29,38,0,3,org.apache.commons.math.geometry.euclidean.threed.RotationTest.testVectorTwoPairs,MATH,52,False
40,40,Math Bug 52 - Weak Oracle,266,337,13,14,0,0,23,32,0,0,16,17,0,2,org.apache.commons.math.geometry.euclidean.threed.RotationTest.testVectorTwoPairs,MATH,52,False
41,41,Math Bug 31 - Weak Oracle,617,19620,39,1818,0,0,32,1233,12,647,26,1172,0,4,org.apache.commons.math3.distribution.PoissonDistributionTest.testCumulativeProbabilitySpecial,MATH,31,False
42,42,Math Bug 31 - Weak Oracle,199,1143,18,99,1,9,17,92,8,45,8,64,0,3,org.apache.commons.math3.stat.inference.TTestTest.testTwoSampleTHomoscedastic,MATH,31,False
43,43,Math Bug 31 - Weak Oracle,421,1058,27,72,0,0,19,37,6,21,19,25,0,35,org.apache.commons.math3.distribution.PoissonDistributionTest.testLargeMeanCumulativeProbability,MATH,31,False
44,44,Math Bug 6 - Weak Oracle,1529,95184,154,12400,0,0,3,283,3,65,240,9566,0,1,org.apache.commons.math3.optim.linear.SimplexSolverTest.testMath288,MATH,6,False
45,45,Math Bug 12 - Weak Oracle,296,106782,23,9386,0,0,3,1870,0,0,8,8,0,1,org.apache.commons.math3.util.FastMathTest.testSignumFloat,MATH,12,False
46,46,Math Bug 69 - Weak Oracle,536,1657,43,200,0,0,13,39,8,8,29,62,0,1,org.apache.commons.math.stat.correlation.SpearmansRankCorrelationTest.testSwissFertility,MATH,69,False
47,47,Math Bug 68 - Weak Oracle,94,167,6,11,0,0,3,7,1,1,15,20,0,2,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest.testOneSet,MATH,68,False
49,49,Math Bug 31 - Weak Oracle,186,1490,15,129,1,12,17,122,8,60,8,85,0,1,org.apache.commons.math3.stat.inference.TTestTest.testSmallSamples,MATH,31,False
50,50,Math Bug 68 - Weak Oracle,34,44,2,2,0,0,0,0,0,0,10,12,0,4,org.apache.commons.math.optimization.fitting.CurveFitterTest.testMath303,MATH,68,False
51,51,Math Bug 6 - Weak Oracle,923,2038,72,259,0,0,12,34,4,4,87,101,0,1,org.apache.commons.math3.optim.nonlinear.scalar.gradient.NonLinearConjugateGradientOptimizerTest.testNonInversible,MATH,6,False
52,52,Math Bug 12 - Weak Oracle,258,54403,7,2498,5,3120,1,622,1,1,17,17,0,2,org.apache.commons.math3.distribution.UniformRealDistributionTest.testGetLowerBound,MATH,12,False
53,53,Math Bug 4 - Weak Oracle,392,853,13,31,0,0,21,42,0,0,28,65,0,2,org.apache.commons.math3.geometry.euclidean.threed.SubLineTest.testIntersectionInsideOutside,MATH,4,False
54,54,Math Bug 44 - Weak Oracle,814,22196,53,1201,0,0,38,2095,8,463,49,245,0,6,org.apache.commons.math.ode.nonstiff.GraggBulirschStoerIntegratorTest.testBackward,MATH,44,False
55,55,Math Bug 15 - Weak Oracle,731,4845,40,222,0,0,41,325,3,15,13,55,0,60,org.apache.commons.math3.analysis.integration.gauss.LegendreHighPrecisionParametricTest.testAllMonomials[7],MATH,15,False
56,56,Math Bug 45 - Weak Oracle,486,1733,34,132,0,0,3,19,1,1,50,133,0,1,org.apache.commons.math.linear.SparseRealMatrixTest.testGetEntry,MATH,45,False
57,57,Math Bug 45 - Weak Oracle,432,1359,28,107,0,0,3,13,1,1,49,110,0,5,org.apache.commons.math.linear.SparseRealMatrixTest.testPlusMinus,MATH,45,False
58,58,Math Bug 12 - Weak Oracle,1515,59943,24,2658,5,3120,39,990,6,51,23,58,0,1,org.apache.commons.math3.distribution.CauchyDistributionTest.testInverseCumulativeProbabilities,MATH,12,False
59,59,Math Bug 12 - Weak Oracle,1102,56990,67,2708,5,3120,40,711,10,20,69,161,0,2,org.apache.commons.math3.distribution.HypergeometricDistributionTest.testDegenerateNoSuccesses,MATH,12,False
60,60,Math Bug 4 - Weak Oracle,169,413,12,32,0,0,2,4,0,0,29,66,0,2,org.apache.commons.math3.geometry.euclidean.twod.SubLineTest.testIntersectionBoundaryOutside,MATH,4,False
