,VERSION,TESTNAME
0,7,org.apache.commons.math3.ode.nonstiff.DormandPrince853IntegratorTest.testEventsScheduling
1,11,org.apache.commons.math3.distribution.MultivariateNormalDistributionTest.testUnivariateDistribution
2,1,org.apache.commons.math3.fraction.BigFractionTest.testDigitLimitConstructor
3,1,org.apache.commons.math3.fraction.FractionTest.testDigitLimitConstructor
4,99,org.apache.commons.math.util.MathUtilsTest.testGcd
5,99,org.apache.commons.math.util.MathUtilsTest.testLcm
6,65,org.apache.commons.math.optimization.general.LevenbergMarquardtOptimizerTest.testCircleFitting
7,84,org.apache.commons.math.optimization.direct.MultiDirectionalTest.testMinimizeMaximize
8,84,org.apache.commons.math.optimization.direct.MultiDirectionalTest.testMath283
9,80,org.apache.commons.math.linear.EigenDecompositionImplTest.testMathpbx02
10,95,org.apache.commons.math.distribution.FDistributionTest.testSmallDegreesOfFreedom
11,37,org.apache.commons.math.complex.ComplexTest.testTanhInf
12,37,org.apache.commons.math.complex.ComplexTest.testTan
13,37,org.apache.commons.math.complex.ComplexTest.testTanh
14,37,org.apache.commons.math.complex.ComplexTest.testTanInf
15,94,org.apache.commons.math.util.MathUtilsTest.testGcd
16,105,org.apache.commons.math.stat.regression.SimpleRegressionTest.testSSENonNegative
17,51,org.apache.commons.math.analysis.solvers.RegulaFalsiSolverTest.testIssue631
18,62,org.apache.commons.math.optimization.univariate.MultiStartUnivariateRealOptimizerTest.testQuinticMin
19,43,org.apache.commons.math.stat.descriptive.SummaryStatisticsTest.testOverrideMeanWithMathClass
20,43,org.apache.commons.math.stat.descriptive.SummaryStatisticsTest.testOverrideGeoMeanWithMathClass
21,43,org.apache.commons.math.stat.descriptive.SummaryStatisticsTest.testOverrideVarianceWithMathClass
22,43,org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatisticsTest.testOverrideMeanWithMathClass
23,43,org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatisticsTest.testOverrideGeoMeanWithMathClass
24,43,org.apache.commons.math.stat.descriptive.SynchronizedSummaryStatisticsTest.testOverrideVarianceWithMathClass
25,77,org.apache.commons.math.linear.ArrayRealVectorTest.testBasicFunctions
