,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
0,0,Math Bug 12 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math3.util.FastMathTest.testAtan2Accuracy,MATH,12,False
1,1,Math Bug 78 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,2,org.apache.commons.math.ode.nonstiff.GillIntegratorTest.testBackward,MATH,78,False
2,2,Math Bug 45 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,6,org.apache.commons.math.linear.SparseRealMatrixTest.testSetSubMatrix,MATH,45,False
3,3,Math Bug 81 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,2,org.apache.commons.math.linear.EigenDecompositionImplTest.testMath308,MATH,81,True
4,4,Math Bug 12 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math3.util.FastMathTest.testCosAccuracy,MATH,12,False
5,5,Math Bug 13 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math3.optimization.general.GaussNewtonOptimizerTest.testTwoSets,MATH,13,False
6,6,Math Bug 12 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math3.util.FastMathTest.testSignumDouble,MATH,12,False
7,7,Math Bug 12 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math3.distribution.UniformIntegerDistributionTest.testDensities,MATH,12,False
8,8,Math Bug 26 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,111,org.apache.commons.math3.util.OpenIntToFieldTest.testContainsKey,MATH,26,False
9,9,Math Bug 26 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,533,org.apache.commons.math3.util.OpenIntToFieldTest.testContainsKey,MATH,26,False
10,10,Math Bug 12 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,2,org.apache.commons.math3.distribution.NormalDistributionTest.testExtremeValues,MATH,12,False
11,11,Math Bug 71 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,10,org.apache.commons.math.ode.nonstiff.HighamHall54IntegratorTest.testIncreasingTolerance,MATH,71,False
12,12,Math Bug 83 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math.optimization.linear.SimplexSolverTest.testUnboundedSolution,MATH,83,False
13,13,Math Bug 12 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math3.distribution.UniformRealDistributionTest.testIsSupportLowerBoundInclusive,MATH,12,False
14,14,Math Bug 66 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,5,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest.testQuinticMin,MATH,66,True
15,15,Math Bug 66 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,112,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest.testQuinticMin,MATH,66,True
16,16,Math Bug 66 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,5,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest.testQuinticMin,MATH,66,True
17,17,Math Bug 66 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,6,org.apache.commons.math.optimization.MultiStartUnivariateRealOptimizerTest.testQuinticMin,MATH,66,True
18,18,Math Bug 85 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math.analysis.solvers.UnivariateRealSolverUtilsTest.testBracketSin,MATH,85,False
19,19,Math Bug 53 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,14,org.apache.commons.math.transform.FastCosineTransformerTest.testSinFunction,MATH,53,False
20,20,Math Bug 99 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math.fraction.FractionTest.testDivide,MATH,99,False
21,21,Math Bug 21 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,23,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest.testMath789,MATH,21,True
22,22,Math Bug 21 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,12,org.apache.commons.math3.linear.RectangularCholeskyDecompositionTest.testMath789,MATH,21,True
23,23,Math Bug 23 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.apache.commons.math3.optimization.univariate.BrentOptimizerTest.testSinMinWithValueChecker,MATH,23,False
