,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION
0,Mockito Bug 25 - mockito Oracle,1858,4957,126,402,0,0,0,0,0,0,371,943,0,2,org.mockitousage.stubbing.DeepStubbingTest.withAnyPatternArguments,MOCKITO,25
1,Mockito Bug 14 - Strong Oracle,1133,5211,76,631,0,0,0,0,0,0,262,1265,0,4,org.mockitousage.stacktrace.PointingStackTraceToActualInvocationInOrderTest.shouldPointToSecondMethodBecauseOfTooManyActualInvocations,MOCKITO,14
2,Mockito Bug 20 - Strong Oracle,921,1664,54,140,0,0,0,0,0,0,179,300,0,2,org.mockito.internal.verification.VerificationOverTimeImplTest.should_deal_with_junit_assertion_error,MOCKITO,20
3,Mockito Bug 14 - Strong Oracle,1171,4570,88,525,0,0,0,0,0,0,255,1110,0,2,org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest.shouldNotAllowUsingAnyObjectForVarArgs,MOCKITO,14
4,Mockito Bug 10 - Strong Oracle,1589,1951,83,127,0,0,0,0,0,0,321,384,0,4,org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest.can_create_mock_from_return_types_declared_with_a_bounded_wildcard,MOCKITO,10
5,Mockito Bug 20 - Strong Oracle,912,4726,56,327,0,0,0,0,0,0,185,935,0,2,org.mockito.internal.creation.MockSettingsImplTest.shouldReportErrorWhenAddingNoInvocationListeners,MOCKITO,20
6,Mockito Bug 28 - mockito Oracle,49,136,9,29,0,0,0,0,0,0,6,13,0,112,org.mockitousage.annotation.MockInjectionTest.shouldKeepInstanceOnInjectMockFieldIfPresent,MOCKITO,28
7,Mockito Bug 27 - mockito Oracle,1637,4604,87,501,0,0,0,0,0,0,364,1115,0,1,org.mockitousage.bugs.ListenersLostOnResetMockTest.listener,MOCKITO,27
8,Mockito Bug 27 - mockito Oracle,844,12030,63,1279,0,0,0,0,0,0,163,2638,0,11,org.mockitousage.annotation.MockInjectionUsingSetterOrPropertyTest.shouldInjectMocksByName,MOCKITO,27
9,Mockito Bug 14 - Strong Oracle,862,3820,55,485,0,0,0,0,0,0,202,940,0,4,org.mockitousage.verification.ExactNumberOfTimesVerificationTest.shouldDetectTooManyActualInvocations,MOCKITO,14
10,Mockito Bug 14 - Strong Oracle,1011,5623,58,677,0,0,0,0,0,0,229,1368,0,12,org.mockitousage.verification.BasicVerificationInOrderTest.shouldFailWhenLastMockCalledTwice,MOCKITO,14
11,Mockito Bug 14 - Strong Oracle,930,3961,77,431,0,0,0,0,0,0,201,888,0,10,org.mockitousage.verification.BasicVerificationInOrderTest.shouldVerifyInOrder,MOCKITO,14
12,Mockito Bug 20 - Strong Oracle,805,1714,48,113,0,0,0,0,0,0,162,355,0,1,org.mockitousage.verification.ExactNumberOfTimesVerificationTest.shouldPassWhenMethodsActuallyNotCalled,MOCKITO,20
13,Mockito Bug 14 - Strong Oracle,482,811,40,76,0,0,0,0,0,0,103,165,0,2,org.mockitousage.matchers.MatchersTest.sameMatcherAndNulls,MOCKITO,14
14,Mockito Bug 20 - Strong Oracle,731,5671,39,775,0,0,0,0,0,0,164,1487,0,4,org.mockito.internal.verification.checkers.NumberOfInvocationsInOrderCheckerTest.shouldReportTooManyInvocations,MOCKITO,20
15,Mockito Bug 14 - Strong Oracle,1223,6583,84,818,0,0,0,0,0,0,286,1558,0,6,org.mockitousage.verification.DescriptiveMessagesOnVerificationInOrderErrorsTest.shouldPrintTooManyInvocations,MOCKITO,14
16,Mockito Bug 14 - Strong Oracle,1184,5876,93,708,0,0,0,0,0,0,256,1412,0,4,org.mockitousage.verification.RelaxedVerificationInOrderTest.shouldAllowFirstChunkBeforeLastInvocation,MOCKITO,14
17,Mockito Bug 4 - Strong Oracle,949,5227,64,704,0,0,0,0,0,0,210,1337,0,1,org.mockito.internal.verification.NoMoreInteractionsTest.shouldVerifyInOrderMultipleInvoctionsAndThrow,MOCKITO,4
18,Mockito Bug 20 - Strong Oracle,2522,16672,172,1456,0,0,0,0,0,0,501,3364,0,4,org.mockitousage.verification.VerificationInOrderWithCallsTest.shouldVerifyWithAtLeastAfterUseOfCalls,MOCKITO,20
19,Mockito Bug 14 - Strong Oracle,376,537,38,59,0,0,0,0,0,0,81,112,0,2,org.mockito.internal.debugging.WarningsFinderTest.shouldPrintStubWasUsedWithDifferentArgs,MOCKITO,14
20,Mockito Bug 26 - mockito Oracle,1724,6514,106,825,0,0,0,0,0,0,360,1601,0,1,org.mockitousage.stubbing.SmartNullsStubbingTest.shouldThrowSmartNPEWhenMethodReturnsClass,MOCKITO,26
21,Mockito Bug 20 - Strong Oracle,1761,7549,132,707,0,0,0,0,0,0,349,1497,0,3,org.mockitousage.verification.SelectedMocksInOrderVerificationTest.shouldAllowThreeTimesOnMockTwo,MOCKITO,20
22,Mockito Bug 20 - Strong Oracle,1736,3382,131,346,0,0,0,0,0,0,355,680,0,1,org.mockitousage.matchers.ReflectionMatchersTest.shouldMatchWhenFieldValuesEqualWithOneFieldExcluded,MOCKITO,20
23,Mockito Bug 20 - Strong Oracle,1701,5786,125,426,0,0,0,0,0,0,326,1128,0,2,org.mockito.internal.invocation.ArgumentsComparatorTest.shouldAllowAnyObjectWithMixedVarargs,MOCKITO,20
24,Mockito Bug 14 - Strong Oracle,657,2972,38,394,0,0,0,0,0,0,154,764,0,2,org.mockitousage.bugs.VerifyingWithAnExtraCallToADifferentMockTest.shouldAllowVerifyingWhenOtherMockCallIsInTheSameLine,MOCKITO,14
25,Mockito Bug 20 - Strong Oracle,2499,8842,170,645,0,0,0,0,0,0,506,1778,0,4,org.mockitousage.debugging.PrintingInvocationsWhenEverythingOkTest.shouldPrintInvocationsWhenStubbingNotUsed,MOCKITO,20
26,Mockito Bug 3 - Strong Oracle,102,107,11,12,0,0,0,0,0,0,18,19,0,2,org.mockitousage.bugs.varargs.VarargsAndAnyObjectPicksUpExtraInvocationsTest.shouldVerifyCorrectlyNumberOfInvocationsUsingAnyVarargAndEqualArgument,MOCKITO,3
27,Mockito Bug 20 - Strong Oracle,2130,9219,136,666,0,0,0,0,0,0,439,1891,0,2,org.mockitousage.verification.AtMostXVerificationTest.shouldVerifyAtMostXTimes,MOCKITO,20
28,Mockito Bug 20 - Strong Oracle,2856,13151,189,1342,0,0,0,0,0,0,604,3058,0,2,org.mockitousage.matchers.CustomMatcherDoesYieldCCETest.shouldNotThrowCCE,MOCKITO,20
29,Mockito Bug 20 - Strong Oracle,999,4844,62,339,0,0,0,0,0,0,201,955,0,2,org.mockito.internal.creation.MockSettingsImplTest.shouldNotAllowNonInterfaces,MOCKITO,20
30,Mockito Bug 1 - Strong Oracle,47,47,4,4,0,0,0,0,0,0,9,9,0,1,org.mockito.internal.util.reflection.ParameterizedConstructorInstantiatorTest.should_instantiate_type_if_resolver_provide_matching_types,MOCKITO,1
31,Mockito Bug 20 - Strong Oracle,704,842,39,50,0,0,0,0,0,0,138,166,0,3,org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest.can_create_mock_from_return_types_declared_with_a_bounded_wildcard,MOCKITO,20
32,Mockito Bug 20 - Strong Oracle,999,4422,61,284,0,0,0,0,0,0,195,886,0,2,org.mockitousage.misuse.DescriptiveMessagesOnMisuseTest.shouldScreamWhenInOrderCreatedWithDodgyMock,MOCKITO,20
33,Mockito Bug 26 - mockito Oracle,1238,6892,94,580,0,0,0,0,0,0,262,1467,0,1,org.mockitousage.examples.use.ExampleTest.managerCountsArticlesUsingCalculator,MOCKITO,26
34,Mockito Bug 37 - Strong Oracle,907,3026,80,401,0,0,0,0,0,0,186,751,0,1,org.mockitousage.stubbing.CallingRealMethodTest.shouldExecuteRealMethod,MOCKITO,37
35,Mockito Bug 20 - Strong Oracle,1316,6712,113,601,0,0,0,0,0,0,257,1271,0,1,org.mockitousage.matchers.MatchersTest.greaterOrEqualMatcher,MOCKITO,20
36,Mockito Bug 14 - Strong Oracle,322,411,28,36,0,0,0,0,0,0,70,87,0,2,org.mockitousage.verification.OnlyVerificationTest.shouldVerifyMethodWasInvokedExclusivelyWithMatchersUsage,MOCKITO,14
37,Mockito Bug 14 - Strong Oracle,633,1679,64,242,0,0,0,0,0,0,131,329,0,2,org.mockitousage.matchers.ReflectionMatchersTest.shouldMatchWhenFieldValuesEqual,MOCKITO,14
38,Mockito Bug 20 - Strong Oracle,1315,6636,113,591,0,0,0,0,0,0,257,1248,0,1,org.mockitousage.matchers.MatchersTest.lessOrEqualMatcher,MOCKITO,20
39,Mockito Bug 30 - Strong Oracle,257,4580,16,674,0,0,0,0,0,0,55,1206,0,2,org.mockitousage.stubbing.SmartNullsStubbingTest.shouldThrowSmartNPEWhenMethodReturnsInterface,MOCKITO,30
40,Mockito Bug 20 - Strong Oracle,1476,2192,99,161,0,0,0,0,0,0,303,451,0,5,org.mockito.internal.debugging.WarningsFinderTest.shouldPrintUnstubbedInvocation,MOCKITO,20
41,Mockito Bug 20 - Strong Oracle,1088,1725,90,137,0,0,0,0,0,0,212,339,0,1,org.mockitousage.bugs.CovariantOverrideTest.returnFoo2,MOCKITO,20
42,Mockito Bug 14 - Strong Oracle,1143,6990,83,787,0,0,0,0,0,0,253,1670,0,6,org.mockitousage.basicapi.UsingVarargsTest.shouldVerifyBooleanVarargs,MOCKITO,14
43,Mockito Bug 7 - Strong Oracle,1818,2272,102,161,0,0,0,0,0,0,366,434,0,1,org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest.can_create_mock_from_return_types_declared_with_a_bounded_wildcard,MOCKITO,7
44,Mockito Bug 20 - Strong Oracle,1248,7293,71,684,0,0,0,0,0,0,258,1646,0,2,org.mockitousage.misuse.ExplicitFrameworkValidationTest.shouldDetectMisplacedArgumentMatcher,MOCKITO,20
45,Mockito Bug 26 - mockito Oracle,92,92,18,18,0,0,0,0,0,0,9,9,0,1,org.mockito.internal.stubbing.defaultanswers.ReturnsMocksTest.should_return_empty_string,MOCKITO,26
46,Mockito Bug 10 - Strong Oracle,1576,1882,98,135,0,0,0,0,0,0,309,359,0,2,org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest.can_create_mock_from_multiple_type_variable_bounds_when_return_type_of_parameterized_method_is_a_typevar_that_is_refer,MOCKITO,10
47,Mockito Bug 23 - mockito Oracle,1568,4681,117,380,0,0,0,0,0,0,309,938,0,4,org.mockitousage.stubbing.DeepStubbingTest.times_never_atLeast_atMost_verificationModes_should_work,MOCKITO,23
48,Mockito Bug 20 - Strong Oracle,2361,16239,156,1657,0,0,0,0,0,0,494,3670,0,2,org.mockitousage.verification.DescriptiveMessagesWhenTimesXVerificationFailsTest.shouldVerifyActualNumberOfInvocationsSmallerThanWanted,MOCKITO,20
49,Mockito Bug 20 - Strong Oracle,2209,13987,158,1555,0,0,0,0,0,0,459,3192,0,3,org.mockitousage.verification.SelectedMocksInOrderVerificationTest.shouldFailVerificationForMockOneBecauseOfWrongOrder,MOCKITO,20
50,Mockito Bug 20 - Strong Oracle,315,388,11,21,0,0,0,0,0,0,65,79,0,1,org.mockitousage.verification.NoMoreInteractionsVerificationTest.verifyNoMoreInteractionsShouldScreamWhenNullPassed,MOCKITO,20
51,Mockito Bug 20 - Strong Oracle,1707,4833,134,424,0,0,0,0,0,0,337,958,0,1,org.mockitousage.matchers.NewMatchersTest.shouldAllowAnyList,MOCKITO,20
52,Mockito Bug 20 - Strong Oracle,255,255,13,13,0,0,0,0,0,0,48,48,0,2,org.mockito.internal.verification.checkers.MissingInvocationCheckerTest.shouldAskAnalyzerForSimilarInvocation,MOCKITO,20
53,Mockito Bug 34 - Strong Oracle,11,11,0,0,0,0,0,0,0,0,2,2,0,1,org.mockitousage.basicapi.UsingVarargsTest.shouldMatchEasilyEmptyVararg,MOCKITO,34
54,Mockito Bug 28 - mockito Oracle,49,136,9,29,0,0,0,0,0,0,6,13,0,112,org.mockitousage.annotation.MockInjectionTest.shouldInstantiateInjectMockFieldIfPossible,MOCKITO,28
