,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
0,0,Mockito Bug 6 - Weak Oracle,802,7721,48,1064,0,0,0,0,0,0,180,2002,0,1,org.mockitousage.basicapi.MocksSerializationForAnnotationTest.should_serialize_method_calls_using_any_string_matcher,MOCKITO,6,False
1,1,Mockito Bug 14 - Weak Oracle,498,826,39,73,0,0,0,0,0,0,107,170,0,2,org.mockitousage.annotation.CaptorAnnotationBasicTest.shouldUseGenericlessAnnotatedCaptor,MOCKITO,14,False
2,2,Mockito Bug 6 - Weak Oracle,710,7830,42,1098,0,0,0,0,0,0,159,2035,0,1,org.mockitousage.examples.use.ExampleTest.managerCountsArticlesAndSavesThemInTheDatabase,MOCKITO,6,False
3,3,Mockito Bug 13 - Weak Oracle,1128,5258,71,630,0,0,0,0,0,0,252,1275,0,3,org.mockitousage.verification.DescriptiveMessagesOnVerificationInOrderErrorsTest.shouldPrintVerificationInOrderErrorAndShowBothWantedAndPrevious,MOCKITO,13,False
4,4,Mockito Bug 14 - Weak Oracle,1231,6318,94,704,0,0,0,0,0,0,272,1559,0,2,org.mockitousage.verification.DescriptiveMessagesWhenVerificationFailsTest.shouldPrintMethodWhenMissingInvocationWithVarargMatcher,MOCKITO,14,False
5,5,Mockito Bug 18 - Weak Oracle,1557,20157,109,2710,0,0,0,0,0,0,358,5204,0,2,org.mockitousage.stubbing.StubbingWithThrowablesTest.shouldStubbingWithThrowableFailVerification,MOCKITO,18,False
6,6,Mockito Bug 33 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,2,org.mockitousage.annotation.CaptorAnnotationTest.testNormalUsage,MOCKITO,33,False
7,7,Mockito Bug 22 - mockito Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,10,org.mockitousage.verification.RelaxedVerificationInOrderTest.shouldAllowAllChunksBeforeLastInvocation,MOCKITO,22,False
8,8,Mockito Bug 18 - Weak Oracle,1001,1261,95,113,0,0,0,0,0,0,185,236,0,1,org.mockitousage.basicapi.MocksSerializationTest.should_serialize_method_call_with_parameters_that_are_serializable,MOCKITO,18,False
9,9,Mockito Bug 33 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,2,org.mockitousage.matchers.MatchersTest.compareToMatcher,MOCKITO,33,False
10,10,Mockito Bug 20 - Weak Oracle,1701,5325,137,496,0,0,0,0,0,0,327,996,0,3,org.mockitousage.basicapi.UsingVarargsTest.shouldStubCorrectlyWhenMixedVarargsUsed,MOCKITO,20,False
11,11,Mockito Bug 20 - Weak Oracle,771,5703,40,774,0,0,0,0,0,0,176,1500,0,4,org.mockito.internal.verification.checkers.NumberOfInvocationsInOrderCheckerTest.shouldReportTooLittleInvocations,MOCKITO,20,False
12,12,Mockito Bug 37 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.mockitousage.basicapi.MocksSerializationTest.shouldSerializeWithStubbingCallback,MOCKITO,37,False
13,13,Mockito Bug 34 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,6,org.mockitousage.verification.BasicVerificationInOrderTest.shouldVerifyInOrderWhenExpectingSomeInvocationsToBeCalledZeroTimes,MOCKITO,34,False
14,14,Mockito Bug 25 - mockito Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.mockito.internal.stubbing.defaultanswers.ReturnsGenericDeepStubsTest.can_create_mock_from_multiple_type_variable_bounds_when_return_type_of_parameterized_method_is_a_typevar_that_is_refer,MOCKITO,25,False
15,15,Mockito Bug 13 - Weak Oracle,1395,4977,118,596,0,0,0,0,0,0,306,1195,0,1,org.mockitousage.matchers.ReflectionMatchersTest.shouldNotMatchAgain,MOCKITO,13,False
16,16,Mockito Bug 18 - Weak Oracle,1151,2458,84,183,0,0,0,0,0,0,249,521,0,1,org.mockitousage.verification.AtMostXVerificationTest.shouldWorkWithArgumentMatchers,MOCKITO,18,False
17,17,Mockito Bug 26 - mockito Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.mockitousage.bugs.ShouldNotDeadlockAnswerExecutionTest.failIfMockIsSharedBetweenThreads,MOCKITO,26,False
18,18,Mockito Bug 33 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,4,org.mockitousage.matchers.CapturingArgumentsTest.shouldAllowAssertionsOnAllCapturedArguments,MOCKITO,33,False
19,19,Mockito Bug 26 - mockito Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.mockitousage.stubbing.DeprecatedStubbingTest.shouldStubbingBeTreatedAsInteraction,MOCKITO,26,False
20,20,Mockito Bug 13 - Weak Oracle,1191,5060,83,617,0,0,0,0,0,0,267,1227,0,3,org.mockitousage.stacktrace.PointingStackTraceToActualInvocationInOrderTest.shouldPointToSecondMethod,MOCKITO,13,False
21,21,Mockito Bug 18 - Weak Oracle,682,3240,61,447,0,0,0,0,0,0,159,849,0,3,org.mockitousage.debugging.VerboseLoggingOfInvocationsOnMockTest.usage,MOCKITO,18,False
22,22,Mockito Bug 20 - Weak Oracle,1147,1790,82,134,0,0,0,0,0,0,223,353,0,2,org.mockitousage.stubbing.StubbingWithThrowablesTest.shouldShowDecentMessageWhenExcepionIsNaughty,MOCKITO,20,False
23,23,Mockito Bug 20 - Weak Oracle,912,4726,55,326,0,0,0,0,0,0,186,936,0,2,org.mockito.internal.creation.MockSettingsImplTest.shouldNotAllowNullListener,MOCKITO,20,False
24,24,Mockito Bug 22 - mockito Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,2,org.mockitousage.matchers.MatchersTest.eqMatcherAndNulls,MOCKITO,22,False
25,25,Mockito Bug 35 - Weak Oracle,0,0,0,0,0,0,0,0,0,0,0,0,0,1,org.mockitousage.matchers.VerificationAndStubbingUsingMatchersTest.shouldVerifyUsingMatchers,MOCKITO,35,False
26,26,Mockito Bug 13 - Weak Oracle,445,567,39,48,0,0,0,0,0,0,97,118,0,5,org.mockitousage.bugs.varargs.VarargsNotPlayingWithAnyObjectTest.shouldMatchAnyVararg,MOCKITO,13,False
27,27,Mockito Bug 20 - Weak Oracle,2735,15854,199,1289,0,0,0,0,0,0,530,3123,0,6,org.mockito.verification.TimeoutTest.should_pass_even_if_first_verification_fails,MOCKITO,20,False
28,28,Mockito Bug 13 - Weak Oracle,1035,5523,61,676,0,0,0,0,0,0,233,1338,0,6,org.mockitousage.verification.BasicVerificationInOrderTest.shouldFailWhenLastMockCalledTwice,MOCKITO,13,False
