,VERSION,TESTNAME
0,7,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthDay_feb29_newYork_startOfYear
1,7,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthDay_feb29_tokyo_endOfYear
2,11,org.joda.time.tz.TestCompiler.testDateTimeZoneBuilder
3,1,org.joda.time.TestPartial_Constructors.testConstructorEx7_TypeArray_intArray
4,18,org.joda.time.chrono.TestGJChronology.testLeapYearRulesConstruction
5,20,org.joda.time.format.TestDateTimeFormatterBuilder.test_printParseZoneDawsonCreek
6,12,org.joda.time.TestLocalDateTime_Constructors.testFactory_fromDateFields_beforeYearZero1
7,12,org.joda.time.TestLocalDateTime_Constructors.testFactory_fromDateFields_beforeYearZero3
8,12,org.joda.time.TestLocalDateTime_Constructors.testFactory_fromCalendarFields_beforeYearZero1
9,12,org.joda.time.TestLocalDateTime_Constructors.testFactory_fromCalendarFields_beforeYearZero3
10,12,org.joda.time.TestLocalDate_Constructors.testFactory_fromDateFields_beforeYearZero1
11,12,org.joda.time.TestLocalDate_Constructors.testFactory_fromDateFields_beforeYearZero3
12,12,org.joda.time.TestLocalDate_Constructors.testFactory_fromCalendarFields_beforeYearZero1
13,12,org.joda.time.TestLocalDate_Constructors.testFactory_fromCalendarFields_beforeYearZero3
14,26,org.joda.time.TestDateTimeZoneCutover.testWithSecondOfMinuteInDstChange
15,26,org.joda.time.TestDateTimeZoneCutover.testWithMinuteOfHourInDstChange
16,26,org.joda.time.TestDateTimeZoneCutover.testWithMinuteOfHourInDstChange_mockZone
17,26,org.joda.time.TestDateTimeZoneCutover.testBug2182444_usCentral
18,26,org.joda.time.TestDateTimeZoneCutover.testWithMillisOfSecondInDstChange_Paris_summer
19,26,org.joda.time.TestDateTimeZoneCutover.testWithHourOfDayInDstChange
20,26,org.joda.time.TestDateTimeZoneCutover.testWithMillisOfSecondInDstChange_NewYork_winter
21,26,org.joda.time.TestDateTimeZoneCutover.testBug2182444_ausNSW
22,16,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthOnly_baseStartYear
23,16,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthOnly_parseStartYear
24,16,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthOnly_baseEndYear
25,16,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthOnly
26,16,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthDay_withDefaultYear_feb29
27,16,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthDay_feb29
28,16,org.joda.time.format.TestDateTimeFormatter.testParseInto_monthOnly_parseEndYear
29,14,org.joda.time.TestMonthDay_Basics.testPlusMonths_int_negativeFromLeap
30,14,org.joda.time.TestMonthDay_Basics.testMinusDays_int_negativeFromLeap
31,14,org.joda.time.TestMonthDay_Basics.testPlusMonths_int_fromLeap
32,14,org.joda.time.TestMonthDay_Basics.testPlusMonths_int_negativeEndOfMonthAdjust
33,14,org.joda.time.TestMonthDay_Basics.testMinusMonths_int_endOfMonthAdjust
34,14,org.joda.time.TestMonthDay_Basics.testMinusMonths_int_negativeFromLeap
35,14,org.joda.time.TestMonthDay_Basics.testMinusMonths_int_fromLeap
36,14,org.joda.time.TestMonthDay_Basics.testPlusDays_int_fromLeap
37,5,org.joda.time.TestPeriod_Basics.testNormalizedStandard_periodType_months1
