,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
0,Time Bug 10 - Strong Oracle,33,33,0,0,0,0,0,0,0,0,6,6,0,1,org.joda.time.TestSeconds.testFactory_secondsBetween_RPartial,TIME,10,False
1,Time Bug 19 - Strong Oracle,188,197,19,19,0,0,0,0,0,0,24,24,0,2,org.joda.time.TestDateTime_Constructors.testParse_noFormatter,TIME,19,False
2,Time Bug 4 - Strong Oracle,199,498,13,38,0,0,0,0,0,0,27,62,0,1,org.joda.time.TestPartial_Basics.testWith3f,TIME,4,False
3,Time Bug 25 - Strong Oracle,443,1725,20,89,1,1,0,0,2,10,74,219,0,1,org.joda.time.TestDateMidnight_Properties.testPropertyGetCenturyOfEra,TIME,25,False
4,Time Bug 24 - Strong Oracle,381,1412,36,136,4,12,0,0,1,4,40,134,0,4,org.joda.time.TestDateTimeComparator.testDOM,TIME,24,False
5,Time Bug 25 - Strong Oracle,2158,37105,172,4197,4,53,10,57,10,78,253,3106,0,6,org.joda.time.format.TestISODateTimeFormatParsing.test_dateOptionalTimeParser,TIME,25,False
6,Time Bug 25 - Strong Oracle,337,1333,18,95,0,0,1,3,1,3,43,109,0,6,org.joda.time.TestMutablePeriod_Updates.testSetPeriod_RI_RI1,TIME,25,False
7,Time Bug 26 - Strong Oracle,172,230,11,16,0,0,0,0,0,0,23,25,0,4,org.joda.time.TestDateMidnight_Basics.testToMutableDateTime_DateTimeZone,TIME,26,False
8,Time Bug 24 - Strong Oracle,704,11388,69,1335,0,0,0,0,0,0,79,985,0,12,org.joda.time.format.TestISODateTimeFormatParsing.test_dateOptionalTimeParser,TIME,24,False
9,Time Bug 24 - Strong Oracle,1040,2267,84,202,1,12,1,4,1,12,141,251,0,1,org.joda.time.TestLocalTime_Constructors.testConstructor_Object2_Chronology,TIME,24,False
10,Time Bug 26 - Strong Oracle,141,193,15,19,0,0,0,0,0,0,13,15,0,4,org.joda.time.TestDateMidnight_Basics.testPlus_long,TIME,26,False
11,Time Bug 26 - Strong Oracle,682,2017,68,233,2,5,2,2,5,11,76,194,0,1,org.joda.time.TestDateMidnight_Basics.testToString_DTFormatter,TIME,26,False
12,Time Bug 25 - Strong Oracle,820,1802,71,198,3,7,4,4,5,9,92,166,0,1,org.joda.time.TestMutableDateTime_Properties.testPropertyAddWeekOfWeekyear,TIME,25,False
13,Time Bug 25 - Strong Oracle,493,4905,29,279,2,15,3,18,2,28,80,635,0,2,org.joda.time.TestDateMidnight_Properties.testPropertyEqualsHashCodeStrict,TIME,25,False
14,Time Bug 26 - Strong Oracle,388,1290,23,94,1,5,0,0,3,9,59,115,0,1,org.joda.time.TestMutableDateTime_Sets.testSetTime_RI1,TIME,26,False
15,Time Bug 25 - Strong Oracle,380,1440,16,68,0,0,0,0,1,5,68,196,0,1,org.joda.time.TestMutableDateTime_Properties.testPropertyGetYearOfEra,TIME,25,False
16,Time Bug 25 - Strong Oracle,917,2069,86,238,2,6,6,6,7,13,101,184,0,1,org.joda.time.TestMutableDateTime_Sets.testSetSecondOfDay_int1,TIME,25,False
17,Time Bug 24 - Strong Oracle,255,486,17,40,0,0,0,0,2,4,38,51,0,1,org.joda.time.format.TestDateTimeFormat.testFormatParse_textMonthJanShortUpperCase_UK,TIME,24,False
18,Time Bug 26 - Strong Oracle,571,1574,34,134,1,4,4,8,0,0,81,173,0,4,org.joda.time.TestDateTime_Properties.testPropertyToIntervalDayOfMonth,TIME,26,False
19,Time Bug 26 - Strong Oracle,1649,5183,121,555,3,7,3,7,4,16,208,479,0,14,org.joda.time.format.TestDateTimeFormatter.testParseInto_chrono,TIME,26,False
20,Time Bug 16 - Strong Oracle,1778,8175,160,860,5,48,4,23,6,38,195,689,0,3,org.joda.time.format.TestDateTimeFormatter.testParseInto_zone3,TIME,16,False
21,Time Bug 25 - Strong Oracle,110,116,11,11,0,0,0,0,0,0,10,10,0,1,org.joda.time.TestYearMonthDay_Basics.testToDateTime_TOD_Zone,TIME,25,False
22,Time Bug 26 - Strong Oracle,223,318,20,28,1,1,0,0,1,1,20,24,0,14,org.joda.time.TestDateTime_Basics.testPlusSeconds_int,TIME,26,False
23,Time Bug 25 - Strong Oracle,2370,15653,178,1397,5,45,9,54,7,86,280,1352,0,2,org.joda.time.TestDateMidnight_Constructors.testParse_noFormatter,TIME,25,False
24,Time Bug 26 - Strong Oracle,242,343,20,28,1,1,0,0,1,1,31,35,0,8,org.joda.time.TestTimeOfDay_Basics.testToDateTimeToday_Zone,TIME,26,False
25,Time Bug 4 - Strong Oracle,205,443,13,31,0,0,0,0,0,0,29,61,0,1,org.joda.time.TestPartial_Basics.testWith3d,TIME,4,False
26,Time Bug 25 - Strong Oracle,1220,9200,83,735,4,38,4,36,6,74,164,840,0,1,org.joda.time.TestLocalDateTime_Constructors.testConstructor_DateTimeZone,TIME,25,False
27,Time Bug 19 - Strong Oracle,110,116,11,11,0,0,0,0,0,0,10,10,0,2,org.joda.time.TestYearMonthDay_Basics.testToDateTime_nullTOD,TIME,19,False
