,Unnamed: 0,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION,FAIL
0,0,Time Bug 26 - Weak Oracle,726,1621,67,186,3,7,3,3,5,9,85,155,0,7,org.joda.time.TestDateTime_Properties.testPropertyAddWrapFieldDayOfMonth,TIME,26,False
1,1,Time Bug 25 - Weak Oracle,1032,2283,95,257,3,8,5,8,10,18,123,213,0,1,org.joda.time.TestMutableDateTime_Sets.testSetWeekOfWeekyear_int2,TIME,25,False
2,2,Time Bug 19 - Weak Oracle 1,1245,5652,82,443,7,42,4,17,6,34,163,543,0,1,org.joda.time.TestDateMidnight_Properties.testPropertyGetYearOfCentury,TIME,19,False
3,3,Time Bug 25 - Weak Oracle,763,6002,70,684,2,16,4,15,5,36,90,593,0,1,org.joda.time.TestDateTimeZoneCutover.test_DateTime_plusHour_Gaza,TIME,25,False
4,4,Time Bug 24 - Weak Oracle,108,131,7,8,1,2,0,0,1,2,19,20,0,1,org.joda.time.format.TestDateTimeFormat.testFormatParse_zoneId_colon_parseZ,TIME,24,False
5,5,Time Bug 25 - Weak Oracle,1530,5647,152,658,2,4,3,4,5,9,184,612,0,5,org.joda.time.format.TestDateTimeFormatter.testZoneNameNearTransition,TIME,25,False
6,6,Time Bug 14 - Weak Oracle,697,2171,44,191,2,4,2,4,4,14,93,204,0,8,org.joda.time.TestYearMonthDay_Properties.testPropertyAddMonth,TIME,14,False
7,7,Time Bug 24 - Weak Oracle,964,4106,77,373,5,36,4,17,6,29,104,340,0,4,org.joda.time.convert.TestStringConverter.testGetInstantMillis_Object_Zone,TIME,24,False
8,8,Time Bug 25 - Weak Oracle,118,124,13,13,0,0,0,0,0,0,11,11,0,4,org.joda.time.TestMutableDateTime_Properties.testPropertyToIntervalMillisOfSecond,TIME,25,False
9,9,Time Bug 19 - Weak Oracle 1,967,3947,71,323,4,15,4,17,6,29,108,340,0,1,org.joda.time.TestDateTime_Constructors.testConstructor_int_int_int_int_int_int_nullChronology,TIME,19,False
10,10,Time Bug 19 - Weak Oracle 1,1518,5668,131,535,5,19,9,23,10,40,172,494,0,1,org.joda.time.TestMutableDateTime_Adds.testAddSeconds_int1,TIME,19,False
11,11,Time Bug 24 - Weak Oracle,384,1126,27,88,2,7,0,0,3,8,58,104,0,1,org.joda.time.convert.TestStringConverter.testGetDateTime1,TIME,24,False
12,12,Time Bug 19 - Weak Oracle 1,1272,12725,99,1038,4,50,4,60,6,94,143,1101,0,3,org.joda.time.TestDateTime_Basics.testWithField1,TIME,19,False
13,13,Time Bug 22 - Weak Oracle,740,16600,80,2700,2,12,1,12,2,12,83,1130,0,1,org.joda.time.format.TestISOPeriodFormat.testFormatAlternateWithWeeks,TIME,22,False
14,14,Time Bug 24 - Weak Oracle,213,4483,18,389,2,56,0,0,0,0,28,507,0,7,org.joda.time.TestDateTimeComparator.testListMinute,TIME,24,False
15,15,Time Bug 19 - Weak Oracle 1,753,1023,60,97,1,2,7,8,2,2,82,94,0,1,org.joda.time.tz.TestCompiler.test_Amman_2004,TIME,19,False
16,16,Time Bug 25 - Weak Oracle,745,1565,74,190,2,4,3,3,5,9,79,145,0,2,org.joda.time.TestMutableDateTime_Adds.testAddWeeks_int1,TIME,25,False
17,17,Time Bug 25 - Weak Oracle,249,321,15,19,0,0,0,0,1,1,29,36,0,2,org.joda.time.TestDateTime_Properties.testPropertyGetMaxMinValuesDayOfYear,TIME,25,False
18,18,Time Bug 26 - Weak Oracle,720,1724,66,193,2,4,2,2,5,11,87,170,0,1,org.joda.time.TestDateTimeZoneCutover.test_DateTime_withDay_Turk,TIME,26,False
19,19,Time Bug 26 - Weak Oracle,657,2993,65,364,3,14,2,4,5,18,72,279,0,4,org.joda.time.TestDateMidnight_Properties.testPropertyWithMinimumValueDayOfMonth,TIME,26,False
21,21,Time Bug 25 - Weak Oracle,31,31,5,5,0,0,0,0,0,0,3,3,0,3,org.joda.time.TestDateTimeZone.testGetMillisKeepLocal,TIME,25,False
22,22,Time Bug 9 - Weak Oracle,2457,21724,216,2429,6,141,15,80,8,95,293,1900,0,1,org.joda.time.format.TestDateTimeFormatter.testParseDateTime_offsetParsed,TIME,9,False
