,ORACLE,NUM_STAT,NUM_EXECSTAT,NUM_COND,NUM_EXECCOND,NUM_MODULO,NUM_EXECMODULO,NUM_MULT,NUM_EXECMULT,NUM_DIV,NUM_EXECDIV,NUM_INVOKE,NUM_EXECINVOKE,CLASS_STACK_SIZE,COUNT,TESTNAME,PROJECT,VERSION
0,Time Bug 26 - Weak Oracle,726,1621,67,186,3,7,3,3,5,9,85,155,0,7,org.joda.time.TestDateTime_Properties.testPropertyAddWrapFieldDayOfMonth,TIME,26
1,Time Bug 25 - Weak Oracle,1032,2283,95,257,3,8,5,8,10,18,123,213,0,1,org.joda.time.TestMutableDateTime_Sets.testSetWeekOfWeekyear_int2,TIME,25
2,Time Bug 19 - Weak Oracle 1,1245,5652,82,443,7,42,4,17,6,34,163,543,0,1,org.joda.time.TestDateMidnight_Properties.testPropertyGetYearOfCentury,TIME,19
3,Time Bug 25 - Weak Oracle,763,6002,70,684,2,16,4,15,5,36,90,593,0,1,org.joda.time.TestDateTimeZoneCutover.test_DateTime_plusHour_Gaza,TIME,25
4,Time Bug 24 - Weak Oracle,108,131,7,8,1,2,0,0,1,2,19,20,0,1,org.joda.time.format.TestDateTimeFormat.testFormatParse_zoneId_colon_parseZ,TIME,24
5,Time Bug 25 - Weak Oracle,1530,5647,152,658,2,4,3,4,5,9,184,612,0,5,org.joda.time.format.TestDateTimeFormatter.testZoneNameNearTransition,TIME,25
6,Time Bug 14 - Weak Oracle,697,2171,44,191,2,4,2,4,4,14,93,204,0,8,org.joda.time.TestYearMonthDay_Properties.testPropertyAddMonth,TIME,14
7,Time Bug 24 - Weak Oracle,964,4106,77,373,5,36,4,17,6,29,104,340,0,4,org.joda.time.convert.TestStringConverter.testGetInstantMillis_Object_Zone,TIME,24
8,Time Bug 25 - Weak Oracle,118,124,13,13,0,0,0,0,0,0,11,11,0,4,org.joda.time.TestMutableDateTime_Properties.testPropertyToIntervalMillisOfSecond,TIME,25
9,Time Bug 19 - Weak Oracle 1,967,3947,71,323,4,15,4,17,6,29,108,340,0,1,org.joda.time.TestDateTime_Constructors.testConstructor_int_int_int_int_int_int_nullChronology,TIME,19
10,Time Bug 19 - Weak Oracle 1,1518,5668,131,535,5,19,9,23,10,40,172,494,0,1,org.joda.time.TestMutableDateTime_Adds.testAddSeconds_int1,TIME,19
11,Time Bug 24 - Weak Oracle,384,1126,27,88,2,7,0,0,3,8,58,104,0,1,org.joda.time.convert.TestStringConverter.testGetDateTime1,TIME,24
12,Time Bug 19 - Weak Oracle 1,1272,12725,99,1038,4,50,4,60,6,94,143,1101,0,3,org.joda.time.TestDateTime_Basics.testWithField1,TIME,19
13,Time Bug 22 - Weak Oracle,740,16600,80,2700,2,12,1,12,2,12,83,1130,0,1,org.joda.time.format.TestISOPeriodFormat.testFormatAlternateWithWeeks,TIME,22
14,Time Bug 24 - Weak Oracle,213,4483,18,389,2,56,0,0,0,0,28,507,0,7,org.joda.time.TestDateTimeComparator.testListMinute,TIME,24
15,Time Bug 19 - Weak Oracle 1,753,1023,60,97,1,2,7,8,2,2,82,94,0,1,org.joda.time.tz.TestCompiler.test_Amman_2004,TIME,19
16,Time Bug 25 - Weak Oracle,745,1565,74,190,2,4,3,3,5,9,79,145,0,2,org.joda.time.TestMutableDateTime_Adds.testAddWeeks_int1,TIME,25
17,Time Bug 25 - Weak Oracle,249,321,15,19,0,0,0,0,1,1,29,36,0,2,org.joda.time.TestDateTime_Properties.testPropertyGetMaxMinValuesDayOfYear,TIME,25
18,Time Bug 26 - Weak Oracle,720,1724,66,193,2,4,2,2,5,11,87,170,0,1,org.joda.time.TestDateTimeZoneCutover.test_DateTime_withDay_Turk,TIME,26
19,Time Bug 26 - Weak Oracle,657,2993,65,364,3,14,2,4,5,18,72,279,0,4,org.joda.time.TestDateMidnight_Properties.testPropertyWithMinimumValueDayOfMonth,TIME,26
20,Time Bug 26 - Weak Oracle,794,3254,73,379,3,15,3,6,5,19,94,307,0,3,org.joda.time.TestDateTimeZoneCutover.testBug2182444_ausNSW,TIME,26
21,Time Bug 25 - Weak Oracle,31,31,5,5,0,0,0,0,0,0,3,3,0,3,org.joda.time.TestDateTimeZone.testGetMillisKeepLocal,TIME,25
22,Time Bug 9 - Weak Oracle,2457,21724,216,2429,6,141,15,80,8,95,293,1900,0,1,org.joda.time.format.TestDateTimeFormatter.testParseDateTime_offsetParsed,TIME,9
23,Time Bug 9 - Weak Oracle,2206,10096,182,1064,6,71,11,37,8,51,267,882,0,4,org.joda.time.format.TestDateTimeFormatter.testParseDateTime_offsetParsed,TIME,9
24,Time Bug 9 - Weak Oracle,2441,21708,212,2425,6,141,15,80,8,95,292,1899,0,1,org.joda.time.format.TestDateTimeFormatter.testParseDateTime_offsetParsed,TIME,9
25,Time Bug 19 - Weak Oracle 1,1503,6022,127,578,7,43,6,20,8,41,174,521,0,1,org.joda.time.TestMutableDateTime_Properties.testPropertyAddWrapFieldYear,TIME,19
26,Time Bug 24 - Weak Oracle,147,147,11,11,0,0,0,0,1,1,19,19,0,3,org.joda.time.format.TestDateTimeFormat.testParse_pivotYear,TIME,24
27,Time Bug 8 - Weak Oracle,493,601,36,58,0,0,8,8,2,2,64,68,0,1,org.joda.time.tz.TestCompiler.test_Amman_2005,TIME,8
28,Time Bug 8 - Weak Oracle,506,614,40,62,0,0,8,8,2,2,65,69,0,1,org.joda.time.tz.TestCompiler.test_Amman_2005,TIME,8
29,Time Bug 26 - Weak Oracle,410,520,22,40,0,0,0,0,0,0,69,72,0,2,org.joda.time.TestDateMidnight_Constructors.testConstructor_int_int_int,TIME,26
30,Time Bug 1 - Weak Oracle,221,810,19,66,0,0,0,0,0,0,30,106,0,1,org.joda.time.TestPartial_Basics.testWith3f,TIME,1
31,Time Bug 21 - Weak Oracle,940,3918,69,327,4,15,6,19,8,31,111,343,0,1,org.joda.time.TestDateTimeZone.testGetShortName,TIME,21
